total_packets,total_packets_in,total_packets_out,total_bytes,total_bytes_in,total_bytes_out,packet_size_mean,packet_size_std,packet_size_var,packet_size_kurtosis,packet_size_skew,packet_size_min,packet_size_max,packet_size_p_10,packet_size_p_20,packet_size_p_30,packet_size_p_40,packet_size_p_50,packet_size_p_60,packet_size_p_70,packet_size_p_80,packet_size_p_90,packet_size_in_mean,packet_size_in_std,packet_size_in_var,packet_size_in_kurtosis,packet_size_in_skew,packet_size_in_min,packet_size_in_max,packet_size_in_p_10,packet_size_in_p_20,packet_size_in_p_30,packet_size_in_p_40,packet_size_in_p_50,packet_size_in_p_60,packet_size_in_p_70,packet_size_in_p_80,packet_size_in_p_90,packet_size_out_mean,packet_size_out_std,packet_size_out_var,packet_size_out_kurtosis,packet_size_out_skew,packet_size_out_min,packet_size_out_max,packet_size_out_p_10,packet_size_out_p_20,packet_size_out_p_30,packet_size_out_p_40,packet_size_out_p_50,packet_size_out_p_60,packet_size_out_p_70,packet_size_out_p_80,packet_size_out_p_90,packet_time_mean,packet_time_std,packet_time_var,packet_time_kurtosis,packet_time_skew,packet_time_min,packet_time_max,packet_time_p_10,packet_time_p_20,packet_time_p_30,packet_time_p_40,packet_time_p_50,packet_time_p_60,packet_time_p_70,packet_time_p_80,packet_time_p_90,packet_time_in_mean,packet_time_in_std,packet_time_in_var,packet_time_in_kurtosis,packet_time_in_skew,packet_time_in_min,packet_time_in_max,packet_time_in_p_10,packet_time_in_p_20,packet_time_in_p_30,packet_time_in_p_40,packet_time_in_p_50,packet_time_in_p_60,packet_time_in_p_70,packet_time_in_p_80,packet_time_in_p_90,packet_time_out_mean,packet_time_out_std,packet_time_out_var,packet_time_out_kurtosis,packet_time_out_skew,packet_time_out_min,packet_time_out_max,packet_time_out_p_10,packet_time_out_p_20,packet_time_out_p_30,packet_time_out_p_40,packet_time_out_p_50,packet_time_out_p_60,packet_time_out_p_70,packet_time_out_p_80,packet_time_out_p_90,out_burst_packets_mean,out_burst_packets_std,out_burst_packets_var,out_burst_packets_kurtosis,out_burst_packets_skew,out_burst_packets_min,out_burst_packets_max,out_burst_packets_p_10,out_burst_packets_p_20,out_burst_packets_p_30,out_burst_packets_p_40,out_burst_packets_p_50,out_burst_packets_p_60,out_burst_packets_p_70,out_burst_packets_p_80,out_burst_packets_p_90,out_burst_sizes_mean,out_burst_sizes_std,out_burst_sizes_var,out_burst_sizes_kurtosis,out_burst_sizes_skew,out_burst_sizes_min,out_burst_sizes_max,out_burst_sizes_p_10,out_burst_sizes_p_20,out_burst_sizes_p_30,out_burst_sizes_p_40,out_burst_sizes_p_50,out_burst_sizes_p_60,out_burst_sizes_p_70,out_burst_sizes_p_80,out_burst_sizes_p_90,in_burst_packets_mean,in_burst_packets_std,in_burst_packets_var,in_burst_packets_kurtosis,in_burst_packets_skew,in_burst_packets_min,in_burst_packets_max,in_burst_packets_p_10,in_burst_packets_p_20,in_burst_packets_p_30,in_burst_packets_p_40,in_burst_packets_p_50,in_burst_packets_p_60,in_burst_packets_p_70,in_burst_packets_p_80,in_burst_packets_p_90,in_burst_sizes_mean,in_burst_sizes_std,in_burst_sizes_var,in_burst_sizes_kurtosis,in_burst_sizes_skew,in_burst_sizes_min,in_burst_sizes_max,in_burst_sizes_p_10,in_burst_sizes_p_20,in_burst_sizes_p_30,in_burst_sizes_p_40,in_burst_sizes_p_50,in_burst_sizes_p_60,in_burst_sizes_p_70,in_burst_sizes_p_80,in_burst_sizes_p_90,datetime,label
283,141,142,97038,45205,51833,342.8904593639576,130.09653393611924,16925.108142191824,6.448102107105077,1.5544783467717875,60,959,232,280,306.6666666666665,328,344,360,376,392,440,320.60283687943263,131.79146860713658,17368.99119762587,6.010280619692523,1.9690845246840305,60,831,232,264,280,296,312,312,328,344,424,365.0211267605634,124.50439600304291,15501.344624082529,8.55992952051635,1.279798580523217,60,959,188.66666666666683,344,360,360,360,376,391.4666666666667,408,440,0.03540492226891484,0.05668510032670359,0.0032132005990484513,173.22388012359366,11.836926351490929,0.000011920928955078125,0.881540060043335,0.0038146416346232096,0.006308603286743166,0.009899290402730295,0.01771246592203776,0.02908790111541748,0.04003820419311523,0.04723079999287923,0.06075701713562012,0.0657581885655721,0.03152955259595599,0.07592221166096985,0.0057641822234931065,109.31374788885068,10.057531822208821,0.000011920928955078125,0.881540060043335,0.002747805913289389,0.005408143997192383,0.007405916849772137,0.009556579589843755,0.020417094230651855,0.028852240244547522,0.03967313766479492,0.04585742950439453,0.05753157138824463,0.03922570927042357,0.025860064150627336,0.000668742917874561,-1.1859872685333361,0.03072790625826768,0.0013370513916015625,0.11060595512390137,0.004688541094462077,0.01045660972595215,0.01596666177113851,0.029290199279785174,0.04153645038604736,0.057807397842407224,0.06103545824686686,0.06466121673583984,0.06765974362691245,2.088235294117647,0.2836367870880281,0.08044982698961937,6.430107526881724,2.9034647452451905,2,3,2,2,2,2,2,2,2,2,2.2333333333333343,764.4117647058823,206.8824783822731,42800.35986159169,1.4392251929257371,1.066907348314976,448,1319,492.26666666666665,624,688,721.0666666666667,744,763.2,816,864,1016.8000000000003,2.1666666666666665,0.5821416398857661,0.3388888888888889,15.990862671324873,4.017575198136643,2,5,2,2,2,2,2,2,2,2,2.633333333333333,661.8,286.6896579927501,82190.96,13.141661707843177,3.476818841114286,400,1999,449.6,508.79999999999995,576,583.4666666666667,608,616.5333333333333,640,684.8,880.2666666666667,2025-04-11 21:40:09.988502,1
325,157,168,240906,101622,139284,741.2492307692307,315.8181112958615,99741.07942248517,0.1700369667734054,-0.1645736384026564,36,1294,213.86666666666667,600,630.9333333333332,664,728,760,824,952,1294,647.2738853503184,273.932708540749,75039.12880847092,1.4063062269120818,0.22464842588481854,36,1294,201.13333333333333,584,600,616,632,648,664,728,1089.600000000003,829.0714285714286,326.89414282339925,106859.78061224495,0.38029023218662505,-0.6478216662758303,38,1294,242.8333333333335,728,744,776,808,840,922.6666666666665,1144.0000000000005,1294,0.030812950781833978,0.051230647225240705,0.002624579215117063,250.35494603832853,14.956722812140306,0.000008821487426757813,0.8979330062866211,0.0006060600280761718,0.010094118118286132,0.021103461583455402,0.025628201166788735,0.030532002449035645,0.033408403396606445,0.03706552982330322,0.04207777976989746,0.047565841674804675,0.0374258680221362,0.0709205981693705,0.005029731244701318,135.9418537393828,11.435475979625899,0.000008821487426757813,0.8979330062866211,0.006469305356343588,0.017052555084228517,0.0270491361618042,0.030804951985677086,0.033086538314819336,0.03650094668070475,0.04202988942464193,0.04436464309692383,0.05280977884928386,0.024672384772981917,0.017689266613975886,0.0003129101533403219,1.7102898667593482,0.6784151520362559,0.00004792213439941406,0.10239815711975098,0.0001720587412516276,0.005766868591308595,0.012104113896687826,0.022574106852213543,0.024449467658996582,0.029968659083048504,0.03446221351623535,0.03783416748046875,0.04533509413401286,2.761904761904762,1.4110030847646717,1.9909297052154196,1.0513410577985765,1.646751103028794,2,6,2,2,2,2,2,2,2.2666666666666657,3.3999999999999986,6,2427.0476190476193,1755.301940548785,3081084.902494331,0.9942239555604,1.5033514861277304,848,6466,877.8666666666667,956.8,1441.6666666666665,1671,1831,2151,2479.5333333333333,3048.6,6404.133333333333,2.5294117647058822,1.6491583257501392,2.7197231833910025,10.949973777751882,3.5284902456901603,2,9,2,2,2,2,2,2,2,2.200000000000001,3,1599.2941176470588,1277.3438785554365,1631607.3840830456,4.206745331716215,2.082377593626671,672,5819,675.2,720,760.5333333333333,768,1264,1441.0666666666666,1692.1333333333328,2595.6,2827.6,2025-04-11 01:38:09.758129,1
346,167,179,234022,99315,134707,676.364161849711,346.4992977480682,120061.76333990441,-0.33791552242278433,0.41391913395902685,36,1300,137,488,520,568,600,648,728,968,1294,594.7005988023952,312.6605075695575,97756.59299365334,0.7291051259441632,0.8771493144218225,36,1300,153.06666666666666,472,488,504,520,547.7333333333333,600,728,1294,752.5530726256983,358.9498669171402,128845.00695983264,-0.5598109752989315,0.026647148607043574,38,1294,137,568,600,632,664,728,872.8666666666667,1285.6000000000004,1294,0.028947480519612632,0.05140964324768031,0.002642951418853762,200.90563639995534,12.575223588209054,0,0.8660390377044678,0.0001556237538655599,0.0030763626098632806,0.007182979583740232,0.012309630711873373,0.020120859146118164,0.027111291885375977,0.03886095682779947,0.05626969337463378,0.06497809092203775,0.03430918182235166,0.06845726753166625,0.004686397477902128,128.2839330567641,10.789736139027296,0,0.8660390377044678,0.0019631306330362957,0.006370639801025392,0.008800641695658366,0.017893155415852874,0.029839038848876953,0.03866066932678223,0.04229229291280111,0.05546684265136719,0.062124347686767584,0.02397517651818984,0.02639182147762146,0.0006965282409066413,1.257109254687781,1.2783643062754615,0.00006198883056640625,0.1409149169921875,0.00009330113728841145,0.00022096633911132825,0.00494670867919922,0.009921964009602864,0.016004085540771484,0.020727682113647464,0.02605799039204915,0.06029596328735353,0.06726487477620442,2.738095238095238,1.5744919635586132,2.4790249433106575,5.2690271555455155,2.4129277728891156,2,9,2,2,2,2,2,2,2,3,5.433333333333337,2282.2619047619046,1880.9535583178952,3537986.2885487513,4.55559257021401,2.240378106911674,1072,9623,1136,1184,1232.5333333333333,1316.2666666666667,1403.5,1723.7333333333333,2053.6999999999994,2854.600000000001,5641.266666666672,2.4871794871794872,1.7812671213290674,3.1729125575279427,18.638079428513418,4.281067010504011,2,12,2,2,2,2,2,2,2,2,2.7333333333333414,1583.2051282051282,1886.1328389399166,3557497.0861275494,10.620112930414644,3.323856234621371,544,10208,596.2666666666667,748.8000000000001,928,977.0666666666666,1024,1024,1145.6,1573.6,2364.8666666666704,2025-04-11 11:10:11.461788,1
349,152,197,274249,84668,189581,785.8137535816619,395.69536520636166,156574.82204579594,-1.1196935268472628,-0.227905335420251,25,1294,141.86666666666662,520,568,584,648,1032,1096.8666666666666,1224,1294,557.0263157894736,216.45201082847382,46851.47299168975,4.308641755014345,0.5637324512604034,38,1294,231.8666666666667,520,552,552,568,568,584,603.2,670.9333333333338,962.3401015228426,411.9294837218872,169685.89955938052,0.16838651643292302,-1.2981240786202168,25,1294,105.13333333333333,636.2000000000003,1032,1064,1097,1160,1247.4666666666667,1294,1294,0.028626320690944278,0.051488944020100964,0.002651111356305091,230.90404620334127,13.866160350686592,0,0.8982350826263428,0.00011301040649414063,0.0007350444793701172,0.008101383845011391,0.018160025278727218,0.02598392963409424,0.03221686681111654,0.03656693299611409,0.045278072357177734,0.057198842366536454,0.04363287047834586,0.07263019069688229,0.005275144600665485,123.96933157203765,10.770004171875463,0,0.8982350826263428,0.005138858159383139,0.02179126739501953,0.031737867991129556,0.03555161158243815,0.04002213478088379,0.04373372395833333,0.048375908533732095,0.05487871170043945,0.061242341995239265,0.01712383836659078,0.01829964101244958,0.00033487686118452675,2.9388551114360935,1.498782110453108,0.00003910064697265625,0.1001749038696289,0.00010903676350911458,0.00015764236450195316,0.0007686138153076176,0.007323424021402994,0.014817953109741211,0.019872633616129558,0.024477529525756835,0.030910348892211927,0.03561061223347984,2.5510204081632653,1.3257454505234052,1.757600999583507,5.753418386828686,2.648851827563451,2,7,2,2,2,2,2,2,2,3,3.7333333333333414,2306.6326530612246,1397.2189534327601,1952220.8038317373,4.11303082950678,2.1902988775901764,1056,6736,1228.8,1416.6,1497.1333333333334,1642.2,1967,2188.8,2326.266666666667,2505.6000000000004,3310.8000000000006,2.6315789473684212,1.6290302674254904,2.6537396121883647,9.363359207813776,3.1615147841941593,2,9,2,2,2,2,2,2,2,2.8000000000000007,4,1394.9473684210527,1314.2007166128417,1727123.5235457064,7.011535187680954,2.74066479817397,624,6248,648.5333333333333,688,704,768.5333333333333,1072,1136,1136,1150.4,2928.6666666666665,2025-04-09 07:32:08.515671,1
338,165,173,252037,100337,151700,745.6715976331361,342.530897614397,117327.41582052453,-0.5352081783667906,-0.2574689969869551,25,1294,170.66666666666674,520,552,600,824,872,920,1016,1216,608.1030303030303,284.7061563179881,81057.59544536268,0.6561585141434572,0.5389415143371825,38,1216,181.86666666666667,504,536,536,552,584,617.0666666666666,707.2000000000003,1216,876.878612716763,341.54762065141375,116654.77717264202,0.8588240605662301,-1.1511578818008787,25,1294,126.00000000000004,840,856,888,904,936,1000,1176,1294,0.02964470365280921,0.0492020622365059,0.002420842928325,225.8161924553178,13.77264217271923,0.000003814697265625,0.8493821620941162,0.00019117991129557292,0.004985141754150389,0.015778748194376625,0.02201571464538575,0.02865314483642578,0.031944990158081055,0.03543303807576497,0.04241623878479004,0.05419098536173499,0.03756187456410106,0.06646549330603148,0.004417661800414115,132.7305427448155,11.090645869204563,0.000003814697265625,0.8493821620941162,0.0018328666687011715,0.013124227523803721,0.026031931241353355,0.030370521545410156,0.032250046730041504,0.036212491989135745,0.04354804356892903,0.04927153587341309,0.059422381718953476,0.022139408684879368,0.02030159233288376,0.0004121546512506047,9.782671197197306,2.187893514118286,0.00004291534423828125,0.1428689956665039,0.0001269976298014323,0.0025489330291748077,0.009255886077880861,0.01666871706644694,0.019817113876342773,0.02569754918416341,0.03084460894266764,0.03450298309326172,0.04122900962829591,2.6206896551724137,1.3238864703760322,1.7526753864447089,4.092730807538722,2.324580696873828,2,7,2,2,2,2,2,2,2,3,5.199999999999992,2302.9655172413795,1626.795654733321,2646464.1022592145,3.632249565211967,2.15410477584295,944,7538,1068.8,1345.4,1424.0666666666666,1667.2,1848,1997.2666666666664,2238.8,2738.2000000000003,5432.133333333324,2.9,2.2113344387495983,4.890000000000001,3.5186119161428735,2.234999465362735,2,10,2,2,2,2,2,2,2,2,7,1924.25,2082.0721859484124,4335024.5875,1.9149057842410144,1.927782421271849,624,7513,651.7333333333333,739.1999999999999,932.8,1069.8666666666668,1184,1267.7333333333333,1340.1,1504.6,6474.133333333333,2025-04-10 17:02:08.072935,1
456,155,301,344515,105961,238554,755.515350877193,463.8701844373753,215175.54800996458,-1.4993620450791798,-0.0766374024381088,25,1294,121,201,345,664,712,792,1294,1294,1294,683.6193548387097,258.8480752816276,67002.32607700313,1.8315152244656927,-0.4071182828851455,38,1294,238.3333333333335,648,664,680,696,712,728,760,872,792.5382059800664,536.1388685910184,287444.8864140573,-1.8577575579030006,-0.2095652182329112,25,1294,121,185,249,345,1294,1294,1294,1294,1294,0.021912187010377317,0.04720714162954118,0.0022285142208315597,279.59497471446,14.967720898114393,0.00000476837158203125,0.9157629013061523,0.00015997886657714844,0.00019469261169433592,0.00031105677286783856,0.00400837262471517,0.010563850402832031,0.022914107640584307,0.031743526458740234,0.042232608795166014,0.05497932434082031,0.02620747182276342,0.07336781408182098,0.00538283614314465,137.33615781735514,11.572176706059256,0.00000476837158203125,0.9157629013061523,0.004011631011962893,0.0065022468566894535,0.010276071230570477,0.015052477518717453,0.019287467002868652,0.023995288213094077,0.026993743578592935,0.03164753913879395,0.04013667106628418,0.01971459943194722,0.024503192487373225,0.0006004064420732637,-1.098042080326008,0.7118922677392229,0.00006794929504394531,0.09174203872680664,0.0001472314198811849,0.00017571449279785156,0.00020168622334798176,0.0002755482991536458,0.0007319450378417969,0.012732648849487273,0.04057127634684244,0.04886984825134277,0.056705697377522776,2.5384615384615383,1.2232677376283656,1.4963839579224198,20.44962410543581,3.987175147921055,2,11,2,2,2,2,2,2,2,3,4,2025.5641025641025,1257.4472402968554,1581173.5621301774,25.91383994314132,4.527744835961604,1319,11267,1416.0666666666666,1459.8,1479,1511,1559,1618.7333333333331,1789.3999999999994,2553.8,3003.2666666666664,2.4,1.058300524425836,1.1199999999999999,11.515306122448978,3.4016802570830458,2,7,2,2,2,2,2,2,2,2.599999999999998,3.133333333333333,1608.2,889.0916713140439,790483.9999999999,3.2641941505678664,1.7362127169243962,736,4671,777.6,816,1239.4666666666665,1344,1376,1428.2666666666667,1577.5999999999995,2452.8,2605.0666666666666,2025-04-08 19:33:55.496414,1
466,163,303,360848,113935,246913,774.3519313304721,455.2699107068052,207270.6915949824,-1.5186824954491878,-0.10418898456131585,38,1294,163.63333333333335,264.6,396.7333333333331,632,728,970.1333333333323,1294,1294,1294,698.9877300613497,309.14620179225466,95571.37408257743,0.324465941851495,-0.32661563764051166,38,1294,104,600,626.6666666666667,648,680,733.3333333333333,792,904.0000000000005,1124,814.8943894389439,512.5042658454424,262660.6225097759,-1.8333076823468188,-0.22351516694600232,38,1294,169,233,297,435.6666666666665,1294,1294,1294,1294,1294,0.021510715894801642,0.04524573431498357,0.002047176473702082,252.1712562052311,13.852137336505997,0,0.8610720634460449,0.00011776288350423177,0.0001952648162841797,0.00029390652974446615,0.002544530232747396,0.009293079376220703,0.02015730539957682,0.028713178634643555,0.041860342025756836,0.057635498046875,0.026734959932021154,0.06776484948741694,0.004592074826052272,138.8620916495324,11.51825822699547,0,0.8610720634460449,0.0004061222076416015,0.005757236480712891,0.0096512238184611,0.015577077865600586,0.020885467529296875,0.024550803502400718,0.028619035085042314,0.03918647766113282,0.04279032548268636,0.01871755571648626,0.025770988659247714,0.0006641438564750743,0.42222893006499884,1.1542756032290882,0.00004601478576660156,0.13533306121826172,0.00011475880940755208,0.00017595291137695313,0.0002143383026123047,0.0002857049306233724,0.0010881423950195313,0.007467587788899735,0.029501517613728833,0.053459882736206055,0.05942455927530924,2.7222222222222223,1.4131219268863229,1.9969135802469138,11.257956709005294,3.097607391619858,2,10,2,2,2,2,2,2,3,3,4,2252.3611111111113,1421.88598320273,2021759.749228394,16.37897241632028,3.696629321886169,1415,11013,1511,1543,1575,1612.3333333333335,1657,1739,2124.333333333332,2942,3433.333333333333,2.4516129032258065,1.159496822942673,1.3444328824141523,14.142690431231966,3.656059223578483,2,8,2,2,2,2,2,2,2,3,3.5333333333333314,1790.3548387096773,993.6609582226434,987362.0998959419,9.87927240810586,2.8647670421098845,704,6199,1025.0666666666666,1259.2,1326.6666666666667,1387.7333333333333,1520,1664,1820.7999999999997,2220.7999999999993,2791.599999999999,2025-04-09 00:07:27.377956,1
285,147,138,81649,47833,33816,286.4877192982456,93.61052585547606,8762.930550938752,2.12451043764825,0.4354364708996831,60,639,200,216,232,264,296,328,328,344,376,325.3945578231293,84.92578255047924,7212.388541811284,3.571436317403859,-0.9312060877066525,60,607,281.0666666666667,312,312,328,328,344,344,360,392,245.04347826086956,84.16950371730634,7084.505356017646,9.287195188376158,2.2435091475527327,60,639,200,216,216,232,232,248,248,280,328,0.03518554862116424,0.057529604091791406,0.003309655346958263,211.58420619661635,13.653223044347975,0.000010967254638671875,0.9390420913696289,0.005826473236083984,0.010938024520874024,0.018407416343688962,0.02460002899169922,0.030142664909362793,0.037254047393798825,0.04219753742218017,0.0523606300354004,0.06089066664377848,0.030731452654485833,0.07719646146059775,0.005959293662037553,128.29329224493176,11.163091843780402,0.000010967254638671875,0.9390420913696289,0.00750424067179362,0.010772418975830079,0.01379679044087728,0.01870889663696289,0.023532986640930176,0.026513751347859695,0.030195752779642742,0.03492722511291504,0.04204735755920411,0.03989785304967908,0.02152254495962649,0.0004632199415391436,-0.9318676268526755,-0.5528700152230728,0.00016617774963378906,0.07428097724914551,0.003985802332560222,0.012373924255371108,0.033987840016682945,0.039610942204793304,0.04288148880004883,0.05024401346842448,0.055956761042277016,0.0591280460357666,0.06296900908152263,2,0,0,NaN,NaN,2,2,2,2,2,2,2,2,2,2,2,463.90909090909093,171.10148745193442,29275.719008264467,3.186965884539136,1.9049500562527502,288,967,304,336,352.5333333333333,416,440,480,495.46666666666664,499.2,704.3666666666653,2.2083333333333335,0.9991315673568166,0.998263888888889,19.04347826086956,4.587317109255644,2,7,2,2,2,2,2,2,2,2,2,726.4583333333334,429.0520538705711,184085.66493055547,16.420956362409388,4.112198032417323,400,2719,448,505.6,640,656,672,688,720,748.8,752,2025-04-09 05:32:07.487756,1
386,185,201,303429,140501,162928,786.0854922279793,381.3147632201357,145400.94864962815,-0.6616776675498279,-0.305294492602641,38,1300,120,600,648,680,744,826.9999999999999,1022.1333333333328,1294,1294,759.4648648648649,360.8400710475909,130205.55687363046,-0.407532245830152,-0.23894795948963157,38,1300,120,616,648,664,712,776,872.5333333333333,1169.6000000000004,1294,810.5870646766169,397.66088909804733,158134.1827182495,-0.8134879929773184,-0.3852046258905881,38,1300,120,568,616,710.0000000000001,792,904,1128,1294,1294,0.02587624401241154,0.048952456705155876,0.0023963430174701607,244.34342565439502,14.120697315454741,0.0000050067901611328125,0.8857080936431885,0.00011164347330729166,0.0007480144500732419,0.005517594019571938,0.011337089538574218,0.021749019622802734,0.02884370485941569,0.03483963012695312,0.039919805526733396,0.05597920417785644,0.03249910214672918,0.06656585869628141,0.004431013543973303,143.71386972574874,11.433257074139856,0.0000050067901611328125,0.8857080936431885,0.0006591320037841797,0.004966402053833008,0.00652298132578532,0.0200106938680013,0.032648563385009766,0.035972913106282554,0.03895681699117025,0.04570832252502442,0.056473310788472494,0.019813528108359568,0.021374050187917704,0.0004568500214356248,1.9331103140452361,1.3740055917112972,0.00006985664367675781,0.1119379997253418,0.00009697278340657552,0.00021753311157226567,0.0019395669301350922,0.00871071815490723,0.014662981033325195,0.0223116397857666,0.027713282903035482,0.03073182106018067,0.0556467374165853,3.230769230769231,1.9276867824833332,3.715976331360946,1.0379528581281159,1.4969212439719932,2,9,2,2,2,2,2,2.9333333333333336,3,5.600000000000001,6,2793.74358974359,2094.774814627426,4388081.523997368,0.3790511023501759,1.2777258403652987,720,8625,856.5333333333333,1227.2,1496.4,1669.3333333333333,2119,2266.0666666666666,2836.6,5233.600000000001,6475.600000000001,2.864864864864865,2.231980845628387,4.981738495252008,14.180332212485276,3.611539105201394,2,14,2,2,2,2,2,2,2,3,6,2312.3513513513512,2523.088296557991,6365974.552227904,9.778429064499802,3.017704311274169,180,13879,812.2666666666667,1216,1272.5333333333333,1361.8666666666668,1456,1625.6000000000001,1949.8666666666663,2122.2,6466,2025-04-12 08:09:20.038826,1
328,165,163,245924,115652,130272,749.7682926829268,313.77612800664286,98455.45850684114,0.375171387217772,-0.4940214618756553,25,1294,135.33333333333343,632,664,712,776,824,856,936,1294,700.9212121212121,300.6086147252198,90365.53924701564,0.7243879623186817,-0.1360874817770586,25,1294,104,616,648,664,680,700.2666666666667,744,843.2000000000007,1233.3333333333348,799.2147239263803,319.0366392853944,101784.37720651888,0.5881525743232916,-0.8827499233625073,38,1294,146.00000000000003,776,792,824,840,856,898.6666666666665,952.0000000000005,1294,0.030569069976106696,0.05072327478893592,0.0025728506053139025,252.07269726689086,15.001203209056811,0.0000050067901611328125,0.8925259113311768,0.0002024968465169271,0.009477996826171875,0.02241247495015462,0.025829140345255533,0.02999711036682129,0.032927910486857094,0.03735593159993489,0.04171013832092285,0.04603646596272786,0.030348106128413502,0.069144726039573,0.004780993139087605,144.41268436804634,11.81317919556193,0.0000050067901611328125,0.8925259113311768,0.000015020370483398438,0.009594726562500008,0.021885005633036296,0.023617712656656898,0.02614462375640869,0.029237047831217448,0.03125733534495036,0.034484243392944335,0.042883022626241066,0.030791389430227457,0.018736665507188166,0.00035106263432825477,1.4734166323310829,0.18498886293196207,0.0000400543212890625,0.10753202438354492,0.00023428599039713546,0.009536027908325202,0.022672653198242188,0.03150773048400879,0.035325050354003906,0.037911017735799156,0.041126410166422524,0.0438838005065918,0.04948695500691732,2.7,1.5524174696260025,2.41,2.0181126358017227,1.9501106830790298,2,7,2,2,2,2,2,2,2,2.599999999999998,6,1926.6,1673.7156688039936,2801324.1399999997,1.7139179816267038,1.832457422619954,848,6410,885.8666666666667,938.4,973.7333333333333,1021.8666666666667,1259.5,1521.6666666666667,1582.2333333333333,2008.5999999999988,5521.466666666666,3.4615384615384617,2.590378190843498,6.710059171597634,2.6776452693560273,1.8761707758237858,2,11,2,2,2,2,2,2,4.0000000000000036,5.000000000000002,7.66666666666667,2457.076923076923,2385.169642782683,5689034.224852071,-0.479080450297773,1.0537744944047518,752,7746,762.6666666666666,768,789.3333333333334,810.6666666666666,848,1408,3778.6666666666706,4948.000000000002,6536.666666666668,2025-04-11 19:07:23.824802,1
