total_packets,total_packets_in,total_packets_out,total_bytes,total_bytes_in,total_bytes_out,packet_size_mean,packet_size_std,packet_size_var,packet_size_kurtosis,packet_size_skew,packet_size_min,packet_size_max,packet_size_p_10,packet_size_p_20,packet_size_p_30,packet_size_p_40,packet_size_p_50,packet_size_p_60,packet_size_p_70,packet_size_p_80,packet_size_p_90,packet_size_in_mean,packet_size_in_std,packet_size_in_var,packet_size_in_kurtosis,packet_size_in_skew,packet_size_in_min,packet_size_in_max,packet_size_in_p_10,packet_size_in_p_20,packet_size_in_p_30,packet_size_in_p_40,packet_size_in_p_50,packet_size_in_p_60,packet_size_in_p_70,packet_size_in_p_80,packet_size_in_p_90,packet_size_out_mean,packet_size_out_std,packet_size_out_var,packet_size_out_kurtosis,packet_size_out_skew,packet_size_out_min,packet_size_out_max,packet_size_out_p_10,packet_size_out_p_20,packet_size_out_p_30,packet_size_out_p_40,packet_size_out_p_50,packet_size_out_p_60,packet_size_out_p_70,packet_size_out_p_80,packet_size_out_p_90,packet_time_mean,packet_time_std,packet_time_var,packet_time_kurtosis,packet_time_skew,packet_time_min,packet_time_max,packet_time_p_10,packet_time_p_20,packet_time_p_30,packet_time_p_40,packet_time_p_50,packet_time_p_60,packet_time_p_70,packet_time_p_80,packet_time_p_90,packet_time_in_mean,packet_time_in_std,packet_time_in_var,packet_time_in_kurtosis,packet_time_in_skew,packet_time_in_min,packet_time_in_max,packet_time_in_p_10,packet_time_in_p_20,packet_time_in_p_30,packet_time_in_p_40,packet_time_in_p_50,packet_time_in_p_60,packet_time_in_p_70,packet_time_in_p_80,packet_time_in_p_90,packet_time_out_mean,packet_time_out_std,packet_time_out_var,packet_time_out_kurtosis,packet_time_out_skew,packet_time_out_min,packet_time_out_max,packet_time_out_p_10,packet_time_out_p_20,packet_time_out_p_30,packet_time_out_p_40,packet_time_out_p_50,packet_time_out_p_60,packet_time_out_p_70,packet_time_out_p_80,packet_time_out_p_90,out_burst_packets_mean,out_burst_packets_std,out_burst_packets_var,out_burst_packets_kurtosis,out_burst_packets_skew,out_burst_packets_min,out_burst_packets_max,out_burst_packets_p_10,out_burst_packets_p_20,out_burst_packets_p_30,out_burst_packets_p_40,out_burst_packets_p_50,out_burst_packets_p_60,out_burst_packets_p_70,out_burst_packets_p_80,out_burst_packets_p_90,out_burst_sizes_mean,out_burst_sizes_std,out_burst_sizes_var,out_burst_sizes_kurtosis,out_burst_sizes_skew,out_burst_sizes_min,out_burst_sizes_max,out_burst_sizes_p_10,out_burst_sizes_p_20,out_burst_sizes_p_30,out_burst_sizes_p_40,out_burst_sizes_p_50,out_burst_sizes_p_60,out_burst_sizes_p_70,out_burst_sizes_p_80,out_burst_sizes_p_90,in_burst_packets_mean,in_burst_packets_std,in_burst_packets_var,in_burst_packets_kurtosis,in_burst_packets_skew,in_burst_packets_min,in_burst_packets_max,in_burst_packets_p_10,in_burst_packets_p_20,in_burst_packets_p_30,in_burst_packets_p_40,in_burst_packets_p_50,in_burst_packets_p_60,in_burst_packets_p_70,in_burst_packets_p_80,in_burst_packets_p_90,in_burst_sizes_mean,in_burst_sizes_std,in_burst_sizes_var,in_burst_sizes_kurtosis,in_burst_sizes_skew,in_burst_sizes_min,in_burst_sizes_max,in_burst_sizes_p_10,in_burst_sizes_p_20,in_burst_sizes_p_30,in_burst_sizes_p_40,in_burst_sizes_p_50,in_burst_sizes_p_60,in_burst_sizes_p_70,in_burst_sizes_p_80,in_burst_sizes_p_90,datetime,label
919,463,456,231386,95185,136201,251.78019586507074,76.53401527836992,5857.455494629761,5.778621349146649,0.8479729832789169,60,783,168,184,200,232,248,280,296,312,328,205.58315334773218,48.32366015604709,2335.1761308771333,11.28146508056776,1.4426135140882421,60,543,168,184,184,200,200,216,232,232,248,298.68640350877195,71.18064731356078,5066.684551977527,13.038756480285944,0.5915935983673217,60,783,264,280,280,296,296,312,328,328,344,0.0326781426120168,0.033277683483582704,0.001107404218033513,268.5675908058922,12.45192753777535,0,0.7746210098266602,0.003908793131510417,0.010292053222656252,0.01560850938161214,0.021893739700317383,0.02937901020050049,0.039748032887776695,0.04492338498433431,0.05312705039978027,0.061385591824849456,0.021027194473134492,0.03768972963940567,0.0014205157202914944,343.0230749721054,17.33224448026401,0,0.7746210098266602,0.002712512016296387,0.006949853897094726,0.011135705312093099,0.014425929387410484,0.017493486404418945,0.021075884501139324,0.02475461959838867,0.02910208702087402,0.04028526941935219,0.04448239270009493,0.022656164764836863,0.0005133018018514355,13.969334694196224,1.3514875118598364,0.00007295608520507813,0.22542715072631836,0.007073402404785156,0.030783843994140626,0.03918451468149821,0.04378665288289388,0.04841196537017822,0.05270085334777832,0.056555573145548495,0.06072225570678711,0.06502121289571126,2.1186440677966103,0.3233692208193037,0.10456765297328358,3.5631868131868085,2.3586408826243153,2,3,2,2,2,2,2,2,2,2,3,559.1694915254237,146.67895907503117,21514.71703533467,3.4663694166554526,1.169980529766795,352,1183,384,403.20000000000005,434.1333333333333,544,576,592,608,678.4000000000001,717.8666666666668,2.2241379310344827,0.617087247178389,0.3807966706302022,21.57069546442603,4.218603443966559,2,6,2,2,2,2,2,2,2,2,3,427.8448275862069,183.00817785798893,33491.99316290131,31.963036344858665,5.172366981725228,272,1655,306.6666666666667,320,336,384,392,416,460.0000000000001,496,526.6666666666667,2025-04-13 04:52:42.370905,0
925,467,458,232475,95093,137382,251.32432432432432,81.54674138154667,6649.871029948856,8.007087493191046,1.3909674724603391,60,783,168,184,200,232,248,280,296,312,328,203.6252676659529,47.19800702252557,2227.6518668983736,8.661856088103047,1.0770297176917238,60,511,153.06666666666672,168,184,200,200,216,216,232,248,299.96069868995636,80.45858318567049,6473.583608245458,12.743855153056478,1.5052548580141103,80,783,264,280,280,296,296,312,312,328,360,0.032466742641482,0.032636382507050775,0.0010651334631465298,311.2800079554938,13.809404429059613,0.000010013580322265625,0.7888128757476807,0.005625708897908529,0.012012577056884766,0.01719800631205241,0.025226306915283204,0.03024303913116455,0.036798095703125006,0.042938613891601564,0.05238132476806641,0.05937000910441081,0.02030166177790564,0.038817444346137785,0.0015067939855655044,327.91941261990337,16.911715771872004,0.000010013580322265625,0.7888128757476807,0.002497243881225586,0.00641789436340332,0.010694607098897298,0.012968349456787109,0.016841530799865723,0.020871003468831376,0.026027472813924153,0.028735923767089843,0.03148981730143229,0.04484431400049201,0.017662953241886332,0.00031197991722506287,15.999475745912417,1.149202140260281,0.00007891654968261719,0.21026015281677246,0.01897712548573812,0.03521585464477539,0.03797908624013265,0.04024958610534668,0.04662203788757324,0.05190356572469076,0.05516171455383301,0.0588529109954834,0.061827898025512695,2.066666666666667,0.24944382578492943,0.06222222222222223,10.071428571428587,3.474396144861517,2,3,2,2,2,2,2,2,2,2,2,532.9555555555555,146.05934190603725,21333.331358024687,0.1742676320764196,0.7561409374888093,368,999,384,400,400,416,528,592,624,660.8000000000001,729.0666666666667,2.1,0.458257569495584,0.21,29.673469387755127,5.361925302941526,2,5,2,2,2,2,2,2,2,2,2,385.42,136.02618718467414,18503.123600000006,15.85370703967401,3.413495092879521,256,1136,277.8666666666667,304,320,320,336,360.5333333333333,432,473.60000000000014,501.0666666666667,2025-04-13 02:19:53.928088,0
921,461,460,232086,109913,122173,251.99348534201954,57.482074446219,3304.188882640664,6.866525874037793,0.10489313825328307,60,607,200,232,232,248,264,264,280,280,296,238.4229934924078,53.688757498301776,2882.4826817114554,8.808885674463335,0.5134403091982239,60,607,200,216,227.73333333333312,232,248,248,264,264,280,265.5934782608696,57.94215594649366,3357.2934357277913,7.459749939802894,-0.3039445965246417,60,591,232,248,264,264,264,280,280,296,312,0.03260036966075068,0.03710649473839531,0.0013768919517705587,384.0503054230061,15.884859184774436,0.0000050067901611328125,0.9388699531555176,0.004043777783711752,0.007768106460571293,0.016511750221252442,0.022386932373046876,0.029843568801879883,0.037878863016764325,0.041995390256245935,0.054620885848999046,0.06350478331247966,0.025082765454831332,0.04621924233695891,0.0021362183622025354,329.2840805053973,16.852123907045183,0.0000050067901611328125,0.9388699531555176,0.0023833592732747395,0.006013679504394531,0.011081910133361817,0.017777538299560545,0.020812511444091797,0.025473562876383457,0.030006146430969233,0.0396458625793457,0.044168074925740555,0.04011797386667003,0.02246189652155111,0.0005045367953448699,-1.1960935547788931,-0.3457570303128808,0.00010919570922851563,0.07790803909301758,0.005886562665303548,0.01228523254394531,0.029361987113952638,0.0365476926167806,0.04171264171600342,0.050905625025431306,0.05892492930094401,0.0628446102142334,0.06634104251861572,2.1,0.2999999999999999,0.08999999999999994,5.1111111111111125,2.6666666666666656,2,3,2,2,2,2,2,2,2,2,2.6333333333333258,528.99,96.6659707446214,9344.3099,-0.010523782569855644,0.061748447513173696,352,792,384,448,486.9333333333333,512,544,560,576,592,645.0666666666666,2.13265306122449,0.48734505862283867,0.23750520616409806,38.391375603238274,5.5988178608806844,2,6,2,2,2,2,2,2,2,2,2.8333333333333286,491.40816326530614,160.09536932809732,25630.52728029988,42.659970924935266,5.459124793871845,304,1799,338.6666666666667,384,432,464,488,512,528,560,598.6666666666666,2025-04-11 05:17:03.173587,0
1009,490,519,1007426,467679,539747,998.4400396432111,335.86992004890146,112808.60319365548,2.781315329063955,-1.9935386602953387,25,1294,189.26666666666665,968,1000,1032,1112,1144,1176,1208,1256,954.4469387755101,280.49797234673366,78679.11249062898,4.629759084977969,-2.309468702599136,25,1294,904,952,968,1000,1000,1016,1048,1080,1160,1039.9749518304432,376.1364812827652,141478.65255177996,2.262724964911186,-2.002090220797742,25,1294,104,1128,1144,1160,1176,1192,1208,1224,1294,0.029761849414734615,0.032397638276615674,0.0010496069659024331,613.7231710015162,21.925203459891147,0.0000069141387939453125,0.9394090175628662,0.0019433498382568364,0.017700910568237305,0.023705800374348957,0.026592731475830078,0.030679941177368164,0.03352069854736328,0.03705565134684245,0.04081106185913086,0.04633692900339763,0.027403861710874094,0.043246528429811984,0.0018702622212305362,401.5110301064955,19.183593823156166,0.0000069141387939453125,0.9394090175628662,0.006376345952351888,0.01742544174194336,0.02207159996032715,0.024661906560262046,0.026063203811645508,0.028274742762247722,0.03126951853434245,0.032979583740234374,0.038443326950073235,0.03198353725131996,0.0163160602196662,0.00026621382109177384,-0.3110104381670844,-0.7379410790099465,0.00006890296936035156,0.06874704360961914,0.00032528241475423175,0.01809406280517578,0.02891985575358073,0.03369571367899577,0.03642106056213379,0.03900822003682455,0.04137070973714193,0.044577932357788085,0.04814470609029134,2.2666666666666666,0.9140872800534725,0.8355555555555555,11.86860570393844,3.6388660113038567,2,6,2,2,2,2,2,2,2,2,3,1760.7333333333333,1114.2754696313752,1241609.822222222,10.847433591192832,3.395598365978755,1216,6434,1245.8666666666666,1280,1318.5333333333333,1323.2,1351,1399,1495,1875.8000000000002,2448,2.5,2.083484842975607,4.340909090909089,26.811052328609414,5.111251322796658,2,15,2,2,2,2,2,2,2,2,2.2333333333333414,1845.5,2044.4776450010622,4179888.8409090894,18.8872420923986,4.262557254048346,1040,13077,1084.2666666666667,1104,1104,1137.0666666666666,1192,1342.3333333333333,1415,1925.6000000000001,2139.466666666668,2025-04-10 06:48:27.491411,0
1021,510,511,547161,282676,264485,535.9069539666993,246.2022335892103,60615.539824316074,2.9174788400370186,1.0025361944717128,25,1294,124,456,488,504,520,536,568,600,744,554.2666666666667,240.48769783599644,57834.332810457534,2.7952886444914506,0.7447712390786502,36,1294,124,504,520,527.4666666666667,536,552,584,616,744,517.5831702544032,250.43786396815457,62719.1237089319,3.2399982446705007,1.2620892375111996,25,1294,124,456,472,472,488,504,522.1333333333328,568,728,0.02939155803007238,0.03463004270391321,0.0011992398576748527,453.7660436111342,17.513159820430133,0,0.934013843536377,0.002289152145385743,0.007558202743530274,0.013474694887797038,0.019908555348714194,0.027766942977905273,0.03309049606323243,0.03999942143758138,0.04861526489257814,0.056938823064168295,0.021582889182160083,0.04317061168910433,0.0018637017136114312,389.143104364975,18.593191251904102,0,0.934013843536377,0.0031085491180419924,0.0068206787109375,0.01015925407409668,0.01337711016337077,0.017179012298583984,0.02138892809549966,0.027309544881184894,0.03153781890869141,0.03877933820088704,0.03716966457329617,0.020399584200854533,0.0004161430355677539,-0.9060965425621506,-0.533818955095397,0.00010991096496582031,0.07037711143493652,0.0018817901611328125,0.01506853103637695,0.029238367080688474,0.03585971196492513,0.041545867919921875,0.047093868255615234,0.051920954386393214,0.056029748916625974,0.060049311319986975,2.263157894736842,0.9782963313390053,0.9570637119113569,15.088531271401393,4.007847201117626,2,7,2,2,2,2,2,2,2,2,2.0333333333333314,1182.0131578947369,1303.020180938167,1697861.5919321333,12.951654644374951,3.6004260164162236,184,7627,571.7333333333333,592,612,643.4666666666667,746,896,998.1333333333333,1357.8,1826.8999999999999,2.342857142857143,1.3615717208507265,1.8538775510204086,25.35560833366779,4.967367460807633,2,11,2,2,2,2,2,2,2,2,3,1251.3142857142857,1521.4044690243766,2314671.5583673455,16.263067230150455,4.050629559172197,592,8919,618.9333333333333,640,657.7333333333333,689.8666666666667,728,850.9333333333333,1056,1412.2000000000003,1816.7,2025-04-12 09:18:26.440581,0
961,483,478,635083,264550,370533,660.8563995837669,243.79632793419194,59436.64951419606,1.174568517877705,-0.054102867223418664,38,1294,488,520,536,568,680,760,792,824,888,547.7225672877847,205.14909401301634,42086.15077436142,5.786903636684308,1.2649227159536902,38,1294,472,504,520,520,536,536,552,584,648,775.173640167364,225.75885322009248,50967.05980725126,4.118756875153869,-1.3634435700796885,38,1294,712,744,760,776,792,808,824,856,920,0.03122824678818385,0.034038019649997364,0.0011585867816936068,218.95260746288136,10.586518836977454,0,0.7610869407653809,0.002146704991658529,0.0071887493133545016,0.012143866221110026,0.01634805997212728,0.02385401725769043,0.036602751413981165,0.04564049243927002,0.05892038345336914,0.06591219902038575,0.03261662271507548,0.03985261460770167,0.0015882308910699966,228.80230761021323,12.665848402599535,0,0.7610869407653809,0.002161558469136556,0.006559848785400391,0.012483326594034831,0.022358115514119467,0.03230440616607666,0.0407332102457682,0.04560260772705078,0.052796125411987305,0.06231004397074379,0.02982825265269898,0.02685970257442752,0.0007214436223867082,5.415286668214215,1.3643270366623943,0.00011086463928222656,0.23497605323791504,0.0021384557088216147,0.0075778961181640625,0.01130672295888265,0.014485041300455734,0.01872563362121582,0.024598280588785805,0.0474318663279215,0.06398200988769531,0.06742759545644124,2.1322314049586777,0.6548250508938944,0.4287958472781915,27.776621252875028,5.331487933163656,2,6,2,2,2,2,2,2,2,2,2,1709.297520661157,803.0507084904888,644890.440407076,24.423075752674958,4.722522290088648,832,6498,1332.2666666666667,1520,1547.7333333333333,1568,1600,1616,1648,1718.3999999999999,1880.5333333333333,2.3271028037383177,0.9548273899357821,0.9116953445715781,18.146630450788876,4.139010717054204,2,8,2,2,2,2,2,2,2,2,3,1284.2616822429907,1049.9419595569518,1102378.1184382918,20.415390008911626,4.53637822119023,608,7556,643.2,1004.8,1024,1050.1333333333334,1072,1104,1147.7333333333331,1216,1382.3999999999996,2025-04-12 16:52:41.934116,0
973,488,485,522792,272301,250491,537.2990750256937,213.53487014995076,45597.14076995633,3.8421788905165863,1.1377103066729894,21,1216,441.33333333333337,472,488,504,504,520,547.3333333333344,584,696,557.9938524590164,214.28395335891526,45917.612667125766,3.3980163325461694,0.968107649973894,38,1216,456,488,504,520,520,536,568,616,757.333333333333,516.4762886597938,210.7372183810164,44410.1752109682,4.596741572081029,1.3404119536120254,21,1216,440,456,472,488,488,504,520,552,648,0.03086413596392659,0.036897610392006376,0.001361433652640297,308.2242311880029,13.353164625345698,0,0.895927906036377,0.0024444103240966798,0.005716848373413088,0.008434804280598956,0.016102886199951174,0.02300894260406494,0.037473106384277345,0.045690711339314787,0.05971565246582033,0.06491378943125407,0.02722500481889478,0.044759343409912604,0.002003398822486487,288.5394915677973,15.078083296465575,0,0.895927906036377,0.0020457744598388673,0.005431270599365234,0.008324146270751953,0.015457169214884442,0.019705772399902344,0.028175608317057288,0.03983351389567057,0.043058443069458004,0.0584421952565511,0.03451827383532967,0.02627109805896794,0.0006901705932239091,-1.5953286045850077,0.05949024792189712,0.000055789947509765625,0.10566496849060059,0.002583583196004232,0.006160926818847655,0.008682870864868164,0.0177004337310791,0.03589987754821777,0.049043289820353185,0.05986798604329426,0.06305384635925293,0.06643079121907552,2.185483870967742,0.855409121922888,0.7317247658688862,30.600066385432164,5.510816242334115,2,8,2,2,2,2,2,2,2,2,2,1184.967741935484,917.1763816673705,841212.5150884502,26.882850172130027,5.127260250917702,560,6920,912,931.2,954.1333333333333,960,976,992,1040,1104,1329.6333333333332,2.2956521739130435,0.9598361548902004,0.9212854442344046,27.784406634924594,5.045177030033907,2,9,2,2,2,2,2,2,2,2,3,1289.6173913043478,954.6956044147515,911443.6970888478,26.480455232786476,5.045817791788385,560,7360,941.8666666666667,1008,1024,1040,1072,1124.2666666666664,1168.5333333333333,1248,1728,2025-04-12 10:17:03.543960,0
922,463,459,227829,107488,120341,247.10303687635576,58.080365553212026,3373.3288627947377,4.99454746237601,0.05933761830992878,60,559,200,216,232,248,256,264,280,280,296,232.15550755939526,57.00685426288428,3249.781432949728,5.715272723685711,0.6588678643753867,60,543,184,200,200,216,232,248,264,280,296,262.18082788671023,55.183670173166576,3045.2374537808346,7.143743276165967,-0.5390120072806481,60,559,232,248,248,264,264,280,280,296,296,0.032569880594259755,0.03638229368646899,0.0013236712938884815,340.0377800468978,14.50347174670266,0.000009059906005859375,0.8949599266052246,0.004035743077596029,0.007567977905273438,0.013602129618326823,0.01931923230489095,0.02804112434387207,0.039241695404052736,0.048736842473347974,0.05677423477172854,0.06404611269632976,0.023945484326515363,0.04425061951359615,0.0019581173273370564,322.02828833468715,16.56239808937124,0.000009059906005859375,0.8949599266052246,0.0029970963795979823,0.0067081451416015625,0.010213224093119304,0.014181804656982423,0.017222046852111816,0.022917079925537102,0.028040226300557455,0.03511228561401367,0.043936300277709964,0.0412506454650613,0.023126965201770162,0.0005348565194438881,-1.1362031985486796,-0.4796495654707532,0.0002510547637939453,0.09682989120483398,0.005067714055379232,0.012244510650634767,0.030269400278727206,0.03987790743509929,0.04972696304321289,0.05332442919413249,0.058671220143636064,0.06294708251953125,0.06555959383646646,2.095744680851064,0.2942407805519006,0.08657763693979174,5.550326797385619,2.7477857990363113,2,3,2,2,2,2,2,2,2,2,2.23333333333332,528.968085106383,88.73058098939825,7873.116002716162,1.8902135635772739,0.13060569459964821,336,887,384,464,512,528,544,558.9333333333333,576,592,617.8666666666666,2.191011235955056,0.6158287463390888,0.3792450448175737,39.19105063643509,5.630642452841319,2,7,2,2,2,2,2,2,2,2,3,484.30337078651684,191.96397160178833,36850.1663931322,48.518843370132934,6.211962122632487,304,2063,352,384,400,416,464,496,528,560,589.8666666666666,2025-04-10 04:52:43.361155,0
1017,500,517,647580,275321,372259,636.7551622418879,261.871128121743,68576.48774375436,1.1060619571670482,-0.18725437173175682,25,1294,124,551.2000000000002,568,584,616,712,760,808,851.7333333333336,550.642,205.52911675964577,42242.217836000105,4.21776308298592,0.19533276343967307,38,1294,136,536,552,568,568,584,584,616,664,720.036750483559,282.7319755929803,79937.3700227096,1.1818586030450948,-0.7801934700841,25,1294,124,648,728,760,776,792,808,840,904,0.029517785536022637,0.03245184349643518,0.0010531221463171221,272.3313472405192,12.195547921976784,0,0.7748489379882813,0.0016155242919921877,0.0064533233642578135,0.011937395731608073,0.017493438720703126,0.024495482444763184,0.034215815862019855,0.043345522880554196,0.05190258026123047,0.05959427356719973,0.02128474889155141,0.03765603524426788,0.0014179769903175446,318.8133223022081,16.20702169825531,0,0.7748489379882813,0.0030620257059733075,0.006206989288330078,0.009739907582600911,0.012587865193684896,0.01616501808166504,0.019799534479777017,0.024145873387654622,0.03076891899108887,0.04196322758992513,0.03746417873832658,0.023924925653916188,0.000572402067545417,3.587189335337957,0.2933017294911114,0.000052928924560546875,0.2087390422821045,0.0008232275644938156,0.006929159164428712,0.024724165598551433,0.038481092453002935,0.04313516616821289,0.04895299275716146,0.05317788124084472,0.05763940811157227,0.06305241584777832,2.364705882352941,0.9436731590661402,0.8905190311418688,10.104092592111241,3.164731952919074,2,7,2,2,2,2,2,2,2,2,3,1531.9176470588236,984.3647962221744,968974.0520415229,10.205320530632896,3.0704071684526424,640,5914,864,881.6,912,1210.666666666667,1464,1536,1616,1686.3999999999999,1966.3999999999987,2.207317073170732,0.7609013409661705,0.5789708506841165,21.058916961153702,4.449692312871122,2,7,2,2,2,2,2,2,2,2,2.433333333333323,1131.4268292682927,764.1911399019099,583988.0983045803,12.307694195397856,3.4457936725659195,600,4644,656,685.5999999999999,708,742.1333333333333,1112,1136,1183.4666666666667,1265.6,1398.9333333333332,2025-04-12 19:17:03.180926,0
1198,579,619,1089654,499637,590017,909.5609348914858,445.30076220965725,198292.76882450172,-0.5065180651188155,-1.107776195841759,23,1294,104,217,984,1048,1112,1160,1208,1224,1294,862.9309153713299,413.73050984700666,171172.93477826405,-0.4267553031089619,-1.1358231459330927,23,1216,104,215,952,1000,1048,1064,1112,1192,1216,953.1777059773829,468.7470916697585,219723.83594885698,-0.48134958348583146,-1.1691138027477503,25,1294,104,217,1112,1160,1192,1208,1256,1294,1294,0.02503907033176151,0.03436680234200222,0.0011810771032142492,358.2263274737601,14.222631646464484,0,0.9060759544372559,0.00011998812357584635,0.0009721279144287111,0.0055166244506835915,0.009536441167195637,0.015769004821777344,0.026912689208984375,0.03933771451314289,0.05027637481689453,0.05995682080586751,0.01855564199929419,0.04057489732838161,0.0016463222932087095,393.1684814854837,18.178621545972675,0,0.9060759544372559,0.000013828277587890625,0.0028450489044189453,0.005868077278137207,0.00825293858846029,0.01153099536895752,0.015712261199951172,0.022510846455891926,0.02944207191467287,0.043185353279113776,0.03109306318501856,0.025898771635592364,0.0006707463722325635,-1.6148764156338014,0.012288769672405582,0.00005793571472167969,0.07888579368591309,0.0001273314158121745,0.0002660274505615235,0.0037133216857910168,0.015021928151448571,0.036023855209350586,0.04573866526285807,0.053337478637695314,0.058625078201293944,0.06408553123474121,2.5961538461538463,1.136677829972888,1.2920364891518734,12.304831671589398,2.9832007731324737,2,10,2,2,2,2,2,2,3,3,4,2201.25,1157.3350612118586,1339424.4439102565,15.422724204524474,3.1575134723220057,1216,10197,1327.7,1351,1399,1531.8000000000002,2187.5,2338.133333333333,2465.633333333333,2642.2000000000003,3102.7666666666673,2.533333333333333,1.0095837059200488,1.0192592592592595,8.154399337479713,2.543645703427508,2,8,2,2,2,2,2,2,2.066666666666663,3,4,1928.9037037037037,840.5767938044559,706569.3462825788,10.99860482602664,2.533569697449304,1072,7125,1216.2666666666667,1277.4,1350.4666666666667,1431,1840,2084.2666666666664,2184.5333333333333,2453.4,2780.9333333333343,2025-04-09 14:17:02.449496,0
