total_packets,total_packets_in,total_packets_out,total_bytes,total_bytes_in,total_bytes_out,packet_size_mean,packet_size_std,packet_size_var,packet_size_kurtosis,packet_size_skew,packet_size_min,packet_size_max,packet_size_p_10,packet_size_p_20,packet_size_p_30,packet_size_p_40,packet_size_p_50,packet_size_p_60,packet_size_p_70,packet_size_p_80,packet_size_p_90,packet_size_in_mean,packet_size_in_std,packet_size_in_var,packet_size_in_kurtosis,packet_size_in_skew,packet_size_in_min,packet_size_in_max,packet_size_in_p_10,packet_size_in_p_20,packet_size_in_p_30,packet_size_in_p_40,packet_size_in_p_50,packet_size_in_p_60,packet_size_in_p_70,packet_size_in_p_80,packet_size_in_p_90,packet_size_out_mean,packet_size_out_std,packet_size_out_var,packet_size_out_kurtosis,packet_size_out_skew,packet_size_out_min,packet_size_out_max,packet_size_out_p_10,packet_size_out_p_20,packet_size_out_p_30,packet_size_out_p_40,packet_size_out_p_50,packet_size_out_p_60,packet_size_out_p_70,packet_size_out_p_80,packet_size_out_p_90,packet_time_mean,packet_time_std,packet_time_var,packet_time_kurtosis,packet_time_skew,packet_time_min,packet_time_max,packet_time_p_10,packet_time_p_20,packet_time_p_30,packet_time_p_40,packet_time_p_50,packet_time_p_60,packet_time_p_70,packet_time_p_80,packet_time_p_90,packet_time_in_mean,packet_time_in_std,packet_time_in_var,packet_time_in_kurtosis,packet_time_in_skew,packet_time_in_min,packet_time_in_max,packet_time_in_p_10,packet_time_in_p_20,packet_time_in_p_30,packet_time_in_p_40,packet_time_in_p_50,packet_time_in_p_60,packet_time_in_p_70,packet_time_in_p_80,packet_time_in_p_90,packet_time_out_mean,packet_time_out_std,packet_time_out_var,packet_time_out_kurtosis,packet_time_out_skew,packet_time_out_min,packet_time_out_max,packet_time_out_p_10,packet_time_out_p_20,packet_time_out_p_30,packet_time_out_p_40,packet_time_out_p_50,packet_time_out_p_60,packet_time_out_p_70,packet_time_out_p_80,packet_time_out_p_90,out_burst_packets_mean,out_burst_packets_std,out_burst_packets_var,out_burst_packets_kurtosis,out_burst_packets_skew,out_burst_packets_min,out_burst_packets_max,out_burst_packets_p_10,out_burst_packets_p_20,out_burst_packets_p_30,out_burst_packets_p_40,out_burst_packets_p_50,out_burst_packets_p_60,out_burst_packets_p_70,out_burst_packets_p_80,out_burst_packets_p_90,out_burst_sizes_mean,out_burst_sizes_std,out_burst_sizes_var,out_burst_sizes_kurtosis,out_burst_sizes_skew,out_burst_sizes_min,out_burst_sizes_max,out_burst_sizes_p_10,out_burst_sizes_p_20,out_burst_sizes_p_30,out_burst_sizes_p_40,out_burst_sizes_p_50,out_burst_sizes_p_60,out_burst_sizes_p_70,out_burst_sizes_p_80,out_burst_sizes_p_90,in_burst_packets_mean,in_burst_packets_std,in_burst_packets_var,in_burst_packets_kurtosis,in_burst_packets_skew,in_burst_packets_min,in_burst_packets_max,in_burst_packets_p_10,in_burst_packets_p_20,in_burst_packets_p_30,in_burst_packets_p_40,in_burst_packets_p_50,in_burst_packets_p_60,in_burst_packets_p_70,in_burst_packets_p_80,in_burst_packets_p_90,in_burst_sizes_mean,in_burst_sizes_std,in_burst_sizes_var,in_burst_sizes_kurtosis,in_burst_sizes_skew,in_burst_sizes_min,in_burst_sizes_max,in_burst_sizes_p_10,in_burst_sizes_p_20,in_burst_sizes_p_30,in_burst_sizes_p_40,in_burst_sizes_p_50,in_burst_sizes_p_60,in_burst_sizes_p_70,in_burst_sizes_p_80,in_burst_sizes_p_90,datetime,label
4808,2996,1812,5474175,3494738,1979437,1138.5555324459235,284.7587220403338,81087.52977804409,2.1302631005624466,-1.6992263808458985,16,1294,697,793,1294,1294,1294,1294,1294,1294,1294,1166.4679572763685,265.45921614291944,70468.59543521322,3.3224409199262483,-2.001272309255819,16,1294,713,937,1294,1294,1294,1294,1294,1294,1294,1092.4045253863135,308.5887288572851,95227.00357775504,0.9248609971483814,-1.3176324736933878,25,1294,681,745,889,1294,1294,1294,1294,1294,1294,0.008318984734186245,0.020607724328316777,0.0004246783019918992,598.6986809962871,15.757609311488281,0,0.8566758632659912,0.0000050067901611328125,0.0000059604644775390625,0.000011205673217773438,0.000015974044799804688,0.0001380443572998047,0.0002110004425048828,0.003009732564290335,0.0121694564819336,0.037624216079711906,0.009259419289972627,0.023588967431477776,0.0005564393844833192,556.1241058885403,16.41269885490159,0,0.8566758632659912,0.0000050067901611328125,0.0000050067901611328125,0.0000059604644775390625,0.000008106231689453125,0.000011920928955078125,0.000014066696166992188,0.00290233294169108,0.014251804351806738,0.041377099355061855,0.006764568898325198,0.014248380911962998,0.00020301635861239153,7.747433330720014,2.807251975515727,0.000027894973754882813,0.07427215576171875,0.00011992454528808594,0.00013399124145507813,0.00016808509826660156,0.0001888275146484375,0.0002219676971435547,0.00031773249308268204,0.003082958857218424,0.010412216186523441,0.022076161702473954,3.3578154425612055,1.0214415664441272,1.0433428736598325,10.251764994584168,3.1012317691280162,2,9,3,3,3,3,3,3,3,3,4,3694.135593220339,1089.5417307845858,1187101.1831210705,10.626701023783436,3.169820062331346,1943,10095,3221,3269,3285,3317,3349,3381,3429,3541,4573.666666666669,5.585687382297552,2.2611311703857737,5.112714169690138,4.776367222981242,1.6352423443232855,2,20,3,4,5,5,5,5,6,7,10,6531.540489642184,2555.414641202792,6530143.988473594,4.901765056436447,1.693248067131955,76,22452,3882,5176,5804.733333333334,5873,5921,5969,6161,7787.200000000001,11391.866666666672,2025-04-04 03:47:37.970981,0
4809,2424,2385,5333449,2881402,2452047,1109.0557288417551,365.4458706228699,133550.68435530737,1.727039934813015,-1.820514691376195,0,1294,297,969,1294,1294,1294,1294,1294,1294,1294,1188.697194719472,223.1721424677565,49805.805173648594,10.45776226708149,-2.9614428861717275,16,1294,921,1033,1294,1294,1294,1294,1294,1294,1294,1028.1119496855347,453.50479605609934,205666.60004588423,-0.5952402466266027,-1.156150027535797,0,1294,233,329,1294,1294,1294,1294,1294,1294,1294,0.00831935503915225,0.01910602539177435,0.0003650402062711262,1134.9312707476656,24.254633480660125,0,0.9317619800567627,0.000009059906005859375,0.000011920928955078125,0.00011610984802246094,0.00012683868408203125,0.00018596649169921875,0.000457207361857096,0.0061800082524617475,0.019382953643798828,0.028980294863382973,0.010275877658562181,0.02317202497830944,0.0005369427415953966,1029.6054081845773,26.207546578354993,0,0.9317619800567627,0.0000059604644775390625,0.000009059906005859375,0.000010013580322265625,0.000011920928955078125,0.0020558834075927734,0.005888938903808594,0.012569030125935843,0.024174213409423845,0.030108690261840824,0.006331659313017967,0.013511434293917305,0.0001825588566788446,17.541462316323216,3.0963807345067007,0.00006699562072753906,0.18760991096496582,0.00011587142944335938,0.00011897087097167969,0.00012493133544921875,0.00014591217041015625,0.00018286705017089844,0.0002205689748128255,0.00037509600321451817,0.010551500320434577,0.026776615778605167,4.19360568383659,0.9498031772007426,0.9021260754206253,35.85956548180963,5.2278353787554295,2,13,4,4,4,4,4,4,4,4,5,4324.243339253996,1019.0156533192365,1038392.9017096305,48.15076680411688,6.1606112832487465,1463,14532,4051,4083,4115,4131,4163,4179,4211,4251,4371,4.3369763205828775,1.5141466367860965,2.292640037690647,25.840968157950915,3.501729162014999,2,20,3,4,4,4,4,4,4,5,6,5156.690346083788,1756.7974782325616,3086337.379524288,28.031524582083314,3.6655867111357585,1398,23477,3882,4755,4803,4835,4851,4899,4931,5027,7178.533333333335,2025-04-03 07:40:33.781405,0
3587,1263,2324,3802494,1413025,2389469,1060.0763869528855,419.061745907667,175612.74688318203,0.8648972977259186,-1.6045759681635214,25,1294,153,969,1113,1294,1294,1294,1294,1294,1294,1118.784639746635,278.21888462305265,77405.74776089548,6.490324436907212,-2.5229291577165007,25,1294,953,1017,1065,1113,1294,1294,1294,1294,1294,1028.17082616179,475.49258053126516,226093.1941402817,-0.2601319438924805,-1.2890208448293585,25,1294,121,297,1294,1294,1294,1294,1294,1294,1294,0.011154543868137749,0.023310325309209866,0.0005433712660211901,609.3334785452488,16.641005529830316,0,0.9078750610351563,0.00011396408081054688,0.00012059211730957041,0.00015211105346679688,0.000197140375773112,0.0003781318664550781,0.005630970001220703,0.006832202275594078,0.019075441360473643,0.04411768913269045,0.022701771600984525,0.033006969743787355,0.001089460051667294,406.863738419785,15.417188835729984,0,0.9078750610351563,0.000012159347534179688,0.0044269561767578125,0.005855083465576172,0.006212631861368815,0.007022857666015625,0.026642243067423493,0.0391546090443929,0.04695892333984375,0.054033120473225914,0.004876391209254633,0.01159982257011326,0.000134555883658109,13.033152086357433,3.4458656876998406,0.00004696846008300781,0.07124209403991699,0.00011491775512695313,0.00011801719665527344,0.0001289844512939453,0.00015497207641601563,0.00018310546875,0.00022602081298828125,0.0003781318664550781,0.0056569576263427864,0.017265240351359054,4.255083179297597,1.155872669864948,1.336041628940723,7.464346023672935,2.6092110757517784,2,10,4,4,4,4,4,4,4,4,5,4394.120147874307,1205.495807823877,1453220.1426809418,9.233817900336428,2.8799859906949967,1398,11562,3907,3955,3987,4019,4035,4068.0666666666666,4131,4243,4804.0666666666675,2.4758909853249476,1.120583804803326,1.2557080635874989,100.16398550768797,7.748003766587215,2,19,2,2,2,2,2,2,2,3,4,2763.8867924528304,1205.3138842272976,1452781.5595110955,141.98088307565516,9.522824378233803,1249,22241,2263,2295,2327,2359,2391,2423,2503,3280,3717,2025-04-04 23:21:17.266479,0
3482,1258,2224,3725637,1372122,2353515,1069.9704192992533,404.6810161810411,163766.72485732008,1.40229355832982,-1.7213852534837664,16,1294,153,937,1097,1294,1294,1294,1294,1294,1294,1090.7170111287758,283.41580072698616,80324.51610171872,4.407924778524804,-2.0154111574557247,16,1294,873,937,985,1049,1294,1294,1294,1294,1294,1058.2351618705036,458.89477799473525,210584.41727083735,0.44401683950751414,-1.532314223724457,25,1294,105,761,1294,1294,1294,1294,1294,1294,1294,0.011490754442836868,0.0219775148621672,0.0004830111595167801,663.2366510466691,17.708903044726906,0,0.8680620193481445,0.000013113021850585938,0.00011706352233886719,0.00012421607971191406,0.00017309188842773438,0.00021791458129882813,0.004028463363647534,0.01732802391052246,0.02874402999877932,0.03725910186767578,0.014570976498587889,0.028821526216724107,0.000830680373461315,611.1336635897284,21.04403917203152,0,0.8680620193481445,0.000010013580322265625,0.000011920928955078125,0.000014066696166992188,0.005696328481038411,0.006649971008300781,0.01623781522115072,0.023198763529459637,0.02804837226867676,0.03501596450805663,0.009749819584887662,0.016676808748493734,0.00027811595003383714,0.5478849271320558,1.4183402285648872,0.00006604194641113281,0.07088088989257813,0.00011682510375976563,0.00012087821960449219,0.00013008912404378258,0.0001659393310546875,0.0001900196075439453,0.00023382504781087245,0.0004998922348022456,0.02913446426391602,0.03920741081237793,3.9153439153439153,0.9919753047223642,0.9840150051790272,32.83399978713456,4.8423478706322705,2,12,3,3,4,4,4,4,4,4,4,4150.178130511464,963.1825434508748,927720.6120084964,47.89728390031852,6.611047697018619,1351,12377,3830.0666666666666,3877,3907,3939,3955,4003,4035,4115,4369.933333333333,2.216696269982238,0.8591406494444477,0.7381226555278273,99.69231354771044,8.492683637233158,2,15,2,2,2,2,2,2,2,2,3,2419.3339253996446,825.5610926051985,681551.1176234891,155.58982621898923,10.913940529951214,2071,16390,2183,2215,2231,2263,2295,2311,2343,2391,2465.666666666667,2025-04-06 00:18:27.975890,0
5291,2639,2652,5969440,3001913,2967527,1128.2252882252883,357.5310022748856,127828.41758768426,2.784982450805395,-2.077422451532704,25,1294,409,1081,1294,1294,1294,1294,1294,1294,1294,1137.5191360363774,340.9466997332179,116244.65205897305,3.6111319352099462,-2.231875094347423,25,1294,553,1065,1294,1294,1294,1294,1294,1294,1294,1118.9769984917043,373.07360787349336,139183.9168917451,2.11596542733775,-1.9405104697486153,25,1294,361,1129,1294,1294,1294,1294,1294,1294,1294,0.007555108304735844,0.01820443582211529,0.00033140148360151435,1005.5389694305524,22.06224017887432,0,0.8811850547790527,0.000010967254638671875,0.000014781951904296875,0.00011342366536458317,0.00012087821960449219,0.0001780986785888672,0.0004860242207845049,0.005837917327880859,0.013304853439331032,0.028477811813354494,0.009119394062322771,0.021814776964569373,0.0004758844940139066,969.1726916512638,24.93747721231099,0,0.8811850547790527,0.0000059604644775390625,0.000010967254638671875,0.000012874603271484375,0.000014781951904296875,0.0037724971771240234,0.0058519840240478516,0.00678253173828125,0.018465995788574247,0.029011130332946777,0.005999080465929541,0.013521313145975414,0.00018282590919152755,7.864351645921889,2.675573934084084,0.000049114227294921875,0.12946105003356934,0.00011205673217773438,0.00011515617370605469,0.00011897087097167969,0.0001270771026611328,0.00016701221466064453,0.0001938343048095703,0.0002829710642496743,0.004515552520751975,0.027435096104939785,4.728260869565218,1.8213901813770244,3.3174621928166297,7.31545256138897,1.7083206361022394,2,17,3,3,3,4,5,5,5,6,7,5356.530797101449,2200.7872189535956,4843464.383109501,4.621144365575459,1.227289685862556,2055,19596,2917,3045,3400.2000000000025,5075,5769,6254.866666666667,6369,6495,8278.666666666668,4.705989110707804,2.196503671150334,4.824628377376893,13.5225730094132,2.551544257581329,2,23,3,3,3,4,5,5,5,6,7,5355.811252268602,2453.412473790774,6019232.766552166,13.935844815348982,2.555385375555519,1057,26222,2718.0666666666666,3598.6000000000004,3701,4588.533333333334,5123,5762.466666666666,6133.266666666666,6639,7568.400000000001,2025-04-04 13:51:52.606726,0
4509,2119,2390,5151672,2318442,2833230,1142.5309381237525,340.62583945554894,116025.96250479741,4.563089309999893,-2.419306345771987,16,1294,825,1065,1294,1294,1294,1294,1294,1294,1294,1094.1208117036338,430.95288641858264,185720.3903125078,1.4855193947030152,-1.8450195345795355,16,1294,105,1193,1294,1294,1294,1294,1294,1294,1294,1185.4518828451883,224.3080666686007,50314.10877260542,9.709841832645944,-2.8358707749928604,38,1294,905,1017,1294,1294,1294,1294,1294,1294,1294,0.008867995444926521,0.01946807340878839,0.0003790058822499736,898.7202500608372,20.930395643856624,0,0.8824801445007324,0.00006810824076334632,0.00011801719665527344,0.00013303756713867188,0.00019359588623046864,0.0009229183197021484,0.005445321400960286,0.00633402665456136,0.015569925308227539,0.02941254774729412,0.013362058836745135,0.024787327434564452,0.0006144116013483115,711.4020542335859,20.76219907478265,0,0.8824801445007324,0.000010013580322265625,0.000015974044799804688,0.004781126976013184,0.005719900131225587,0.005951523780822754,0.006446758906046549,0.014653484026590982,0.023102998733520508,0.04012827078501383,0.004885390313599399,0.01168896416960404,0.00013663188335828709,12.419602909071752,3.352622241506312,0.00004100799560546875,0.07125520706176758,0.0001150051752726237,0.00011801719665527344,0.00012111663818359375,0.00014090538024902344,0.00017786026000976563,0.0002040863037109375,0.0003367106119791666,0.004898500442504892,0.018623391787211112,4.357933579335794,1.4171855623373821,2.0084149180975217,33.45691545758121,4.454709360761896,2,20,4,4,4,4,4,4,4,4,5,5183.356088560886,1636.266324258384,2677367.483902043,30.027716514661712,4.274400167062697,1383,22673,4691,4755,4787,4819,4851,4883,4914.599999999999,4947,5393,4.104,1.822411589076408,3.321183999999999,14.030223826756284,2.3815799759168677,2,20,2,3,3,3,4,4,4,5,6.633333333333326,4475.432,1805.666031517456,3260429.817375999,19.327656779953795,2.7782523712265226,1319,22111,2588,3739.3999999999996,3829,3877,3955,4031.2666666666664,4886.566666666661,5332.4,7456.7,2025-04-06 06:51:16.728063,0
2420,1214,1206,2302317,1045042,1257275,951.3706611570248,382.40736820167876,146235.3952549343,-1.0105840553591403,-0.6042437871847053,38,1294,393,521,735.9333333333343,832.466666666669,1113,1294,1294,1294,1294,860.8253706754531,432.1622553788347,186764.21497412113,-1.7276295253607266,-0.12135252418785554,38,1294,361,425,473,554.0666666666666,721,1294,1294,1294,1294,1042.5165837479271,298.12298536274636,88877.31440159628,1.3900886168716946,-1.17710144480587,38,1294,745,793,841,937,1145,1294,1294,1294,1294,0.016529348084827058,0.029442544495578635,0.0008668634263741277,389.4372570643985,13.087048192112437,0,0.9349098205566406,0.000010013580322265625,0.000015020370483398438,0.00014689763387044273,0.00021702448527018245,0.0012679100036621094,0.008379824956258143,0.01923896471659342,0.04011354446411134,0.058338435490926106,0.018599103721624943,0.035481166265303093,0.0012589131595460825,364.13363426037563,14.446283822365048,0,0.9349098205566406,0.0000069141387939453125,0.000010013580322265625,0.000012159347534179688,0.000015020370483398438,0.0006508827209472656,0.007877747217814101,0.03749791781107584,0.04335379600524902,0.05776874224344889,0.014447578941016252,0.021538235724676245,0.0004638955981317201,1.5953058869281227,1.5992213559921797,0.000050067901611328125,0.13543105125427246,0.00014183521270751953,0.0001835346221923828,0.0002129077911376953,0.00027952194213867173,0.001613616943359375,0.008619244893391926,0.015957196553548176,0.024592065811157228,0.05937845706939697,2.683257918552036,0.9927977158105993,0.9856473045187435,-0.831762871723849,0.9156083393893985,2,5,2,2,2,2,2,2,4,4,4,2822.2511312217193,1005.581627608514,1011194.4097837881,-1.1261521970706052,0.8482796319727844,1399,4988,2039,2071,2103,2151,2231,2359,3747.866666666665,4190,4431.733333333334,2.669623059866962,1.1100966138415513,1.2323144920624785,15.307565747070672,2.535174145479712,2,13,2,2,2,2,2,2,3,4,4,2299.1773835920176,914.3488757249588,836033.8665394962,14.609160433983817,2.401094719566421,132,10746,1655,1687,1735,1780.8666666666668,1847,1927,2087,3444.3999999999996,3646,2025-04-05 04:17:02.296,0
4839,2993,1846,5540813,3514767,2026046,1145.032651374251,283.1918743577017,80197.6377022283,3.2238661690873043,-1.9248584073187869,16,1294,729,857,1294,1294,1294,1294,1294,1294,1294,1174.3291012362179,254.412031428962,64725.48173581114,4.443681885752808,-2.1762272985084645,16,1294,745,1017,1294,1294,1294,1294,1294,1294,1294,1097.5330444203685,318.80328393615724,101635.5338484781,1.7954256223534761,-1.5791327798078962,25,1294,681,793,953,1294,1294,1294,1294,1294,1294,0.008259603779096158,0.02022367706432153,0.00040899711400196463,822.3590118798119,19.47420580359659,0,0.9112420082092285,0.0000050067901611328125,0.0000059604644775390625,0.000011920928955078125,0.000015974044799804688,0.00012803077697753906,0.00020384788513183594,0.00460851192474364,0.015091896057128906,0.03181966145833327,0.005896859070196509,0.019815735628484932,0.00039266337849800715,1457.0008615470786,32.49324991865797,0,0.9112420082092285,0.0000040531158447265625,0.0000050067901611328125,0.0000059604644775390625,0.000007152557373046875,0.000011920928955078125,0.000014066696166992188,0.0041251103083292644,0.013630151748657227,0.019841631253560386,0.012089144499046186,0.020291802572014583,0.00041175725162161765,0.6111230541843762,1.4506269185094351,0.00004315376281738281,0.07493901252746582,0.00011897087097167969,0.00012493133544921875,0.00014901161193847656,0.0001850128173828125,0.00021195411682128906,0.0002949237823486328,0.005338040987650525,0.03215312957763671,0.04922571182250976,3.4545454545454546,1.1051781452699696,1.22141873278237,8.755224478029094,2.8214963878024366,2,10,3,3,3,3,3,3,3,4,5,3822.532196969697,1179.6741761359965,1391631.1618421422,9.757225896113441,3.024178041779058,1927,10468,3253,3301,3346.3333333333335,3381,3413,3461,3557,3829.000000000001,4608.333333333334,5.652671755725191,2.2761568066120197,5.180889808286228,37.74670300967172,4.5071149477203,2,32,5,5,5,5,5,5,5,6,9,6654.753816793893,2699.39361696613,7286725.899317486,33.79413060465695,4.2229742541471404,88,36882,5745,5841,5889,5921,5953,6001,6049,6193,11268.2,2025-04-04 03:46:12.956921,0
2617,1295,1322,2654330,1331890,1322440,1014.2644249140237,357.2119167455377,127600.35346502095,0.8917644527817776,-1.289856056492685,16,1294,570.0666666666666,777,873,953,1225,1294,1294,1294,1294,1028.4864864864865,335.0328117550879,112246.98495252017,1.6816399425948099,-1.4475666185176026,16,1294,777,857,905,937,1081,1294,1294,1294,1294,1000.3328290468986,377.1576931913873,142247.92553344864,0.30848139112055106,-1.151982069582678,25,1294,386.0666666666666,728,792,985,1294,1294,1294,1294,1294,0.015289998473741958,0.02327162900244674,0.0005415687164275201,479.74143812401485,15.007045338734681,0,0.7942910194396973,0.00011897087097167969,0.00018286705017089844,0.0003780285517374677,0.005316432317097983,0.00722050666809082,0.013641246159871416,0.021194076538085936,0.029788160324096685,0.03979908625284832,0.018073741398417782,0.02718498210125545,0.000739023251845579,512.7449867753659,18.39623714837644,0,0.7942910194396973,0.000014066696166992188,0.004627418518066406,0.005973013242085775,0.007480827967325848,0.011527538299560547,0.01908117930094401,0.024206129709879558,0.031134939193725585,0.04010972181955973,0.012565215308438992,0.018256142387931433,0.0003332867348884268,1.3801905509824515,1.5105598862862741,0.00005412101745605469,0.07465195655822754,0.0001220703125,0.0001480579376220703,0.00019788742065429688,0.0002579689025878906,0.0007424354553222656,0.006704902648925784,0.016562072436014808,0.027189970016479492,0.039263590176900225,3.6460481099656357,1.5909354002778529,2.5310754478572517,4.818496612586893,2.008893923171974,2,11,2,3,3,3,3,3,4,4,6,3932.8625429553263,1913.7939815418924,3662607.4037859696,3.4407537129925503,1.3809524244975495,184,12147,1501.0666666666666,3361.8,3509,3570.866666666667,3621,3718.6,3884.9999999999995,4291,7123.5999999999985,2.6130434782608694,1.0965575969036154,1.202438563327032,20.259383981598706,3.509728502922314,2,12,2,2,2,2,2,2,3,3,4,2678.215217391304,1092.4923795311563,1193539.599333648,25.667378529939295,3.8520963266376835,84,13401,2119,2151,2183,2206.4666666666667,2231,2295,2441.7999999999993,3177.5999999999995,4254,2025-04-04 19:48:26.296906,0
3845,1996,1849,4475291,2313678,2161613,1163.9248374512354,305.3468101268174,93236.67445462267,7.145124511077251,-2.8636274299119306,16,1294,969,1113,1257,1294,1294,1294,1294,1294,1294,1159.1573146292585,349.5950868520688,122216.7247511055,5.233943782588222,-2.649891522839417,16,1294,824.4666666666667,1209,1289,1294,1294,1294,1294,1294,1294,1169.0713899405084,248.80035434150514,61901.61632045851,9.846304876722376,-3.011528267394637,25,1294,969,1033,1129,1294,1294,1294,1294,1294,1294,0.010401535480749347,0.022414052795609287,0.0005023897627243606,589.5910346918057,16.19216330230625,0,0.8799850940704346,0.000011920928955078125,0.000018882751464843788,0.00013208389282226563,0.0001900196075439453,0.0003044605255126953,0.004576253890991212,0.006415518124898276,0.01744441986083985,0.03905269304911296,0.009750145599059293,0.02433697985708697,0.0005922885885642569,818.9868218351676,23.507905764617806,0,0.8799850940704346,0.000010013580322265625,0.000012159347534179688,0.000014066696166992188,0.000027831395467122454,0.004670143127441406,0.005879179636637369,0.007030344009399413,0.01613454818725586,0.031080611546834298,0.011104360150285125,0.020110708746481007,0.0004044406062857877,1.4544157114469929,1.702617860227868,0.00005888938903808594,0.07450008392333984,0.00011992454528808594,0.00013709068298339844,0.0001659393310546875,0.00019288063049316406,0.0002238750457763672,0.0003080209096272786,0.0037181377410888663,0.02405381202697753,0.04996600151062011,3.735112936344969,1.6592900493097011,2.7532434677381903,17.340879627056186,3.3915278640393898,2,18,3,3,3,3,3,3,3,4,6,4393.139630390144,1819.1410086221435,3309274.00925079,12.777074293012983,3.048506470680641,2240,17406,3541,3573,3589,3621,3637,3669,3733,4102.2,7242,4.184946236559139,1.9598631857318274,3.841063706786907,13.87288493446989,2.702488488429823,2,20,2.866666666666667,3,3,3,4,4,5,6,6,4850.705376344086,2241.3566286632786,5023679.536852819,17.17055753157684,2.8826399702573657,1309,24617,2609.6666666666665,3765,3813,3861,3923,4035,5191.599999999999,6465,7658.533333333333,2025-04-03 13:34:53.363035,0
