total_packets,total_packets_in,total_packets_out,total_bytes,total_bytes_in,total_bytes_out,packet_size_mean,packet_size_std,packet_size_var,packet_size_kurtosis,packet_size_skew,packet_size_min,packet_size_max,packet_size_p_10,packet_size_p_20,packet_size_p_30,packet_size_p_40,packet_size_p_50,packet_size_p_60,packet_size_p_70,packet_size_p_80,packet_size_p_90,packet_size_in_mean,packet_size_in_std,packet_size_in_var,packet_size_in_kurtosis,packet_size_in_skew,packet_size_in_min,packet_size_in_max,packet_size_in_p_10,packet_size_in_p_20,packet_size_in_p_30,packet_size_in_p_40,packet_size_in_p_50,packet_size_in_p_60,packet_size_in_p_70,packet_size_in_p_80,packet_size_in_p_90,packet_size_out_mean,packet_size_out_std,packet_size_out_var,packet_size_out_kurtosis,packet_size_out_skew,packet_size_out_min,packet_size_out_max,packet_size_out_p_10,packet_size_out_p_20,packet_size_out_p_30,packet_size_out_p_40,packet_size_out_p_50,packet_size_out_p_60,packet_size_out_p_70,packet_size_out_p_80,packet_size_out_p_90,packet_time_mean,packet_time_std,packet_time_var,packet_time_kurtosis,packet_time_skew,packet_time_min,packet_time_max,packet_time_p_10,packet_time_p_20,packet_time_p_30,packet_time_p_40,packet_time_p_50,packet_time_p_60,packet_time_p_70,packet_time_p_80,packet_time_p_90,packet_time_in_mean,packet_time_in_std,packet_time_in_var,packet_time_in_kurtosis,packet_time_in_skew,packet_time_in_min,packet_time_in_max,packet_time_in_p_10,packet_time_in_p_20,packet_time_in_p_30,packet_time_in_p_40,packet_time_in_p_50,packet_time_in_p_60,packet_time_in_p_70,packet_time_in_p_80,packet_time_in_p_90,packet_time_out_mean,packet_time_out_std,packet_time_out_var,packet_time_out_kurtosis,packet_time_out_skew,packet_time_out_min,packet_time_out_max,packet_time_out_p_10,packet_time_out_p_20,packet_time_out_p_30,packet_time_out_p_40,packet_time_out_p_50,packet_time_out_p_60,packet_time_out_p_70,packet_time_out_p_80,packet_time_out_p_90,out_burst_packets_mean,out_burst_packets_std,out_burst_packets_var,out_burst_packets_kurtosis,out_burst_packets_skew,out_burst_packets_min,out_burst_packets_max,out_burst_packets_p_10,out_burst_packets_p_20,out_burst_packets_p_30,out_burst_packets_p_40,out_burst_packets_p_50,out_burst_packets_p_60,out_burst_packets_p_70,out_burst_packets_p_80,out_burst_packets_p_90,out_burst_sizes_mean,out_burst_sizes_std,out_burst_sizes_var,out_burst_sizes_kurtosis,out_burst_sizes_skew,out_burst_sizes_min,out_burst_sizes_max,out_burst_sizes_p_10,out_burst_sizes_p_20,out_burst_sizes_p_30,out_burst_sizes_p_40,out_burst_sizes_p_50,out_burst_sizes_p_60,out_burst_sizes_p_70,out_burst_sizes_p_80,out_burst_sizes_p_90,in_burst_packets_mean,in_burst_packets_std,in_burst_packets_var,in_burst_packets_kurtosis,in_burst_packets_skew,in_burst_packets_min,in_burst_packets_max,in_burst_packets_p_10,in_burst_packets_p_20,in_burst_packets_p_30,in_burst_packets_p_40,in_burst_packets_p_50,in_burst_packets_p_60,in_burst_packets_p_70,in_burst_packets_p_80,in_burst_packets_p_90,in_burst_sizes_mean,in_burst_sizes_std,in_burst_sizes_var,in_burst_sizes_kurtosis,in_burst_sizes_skew,in_burst_sizes_min,in_burst_sizes_max,in_burst_sizes_p_10,in_burst_sizes_p_20,in_burst_sizes_p_30,in_burst_sizes_p_40,in_burst_sizes_p_50,in_burst_sizes_p_60,in_burst_sizes_p_70,in_burst_sizes_p_80,in_burst_sizes_p_90,datetime,label
3008,1507,1501,2310122,1120078,1190044,767.9926861702128,516.5678847942092,266842.37960076344,-1.905413866650014,-0.016373882781056878,16,1294,169,249,297,361,505,1294,1294,1294,1294,743.2501658925016,539.8368837959067,291423.86110647523,-1.9323573621183505,0.0002555151602472895,16,1294,121,185,233,297,473,1294,1294,1294,1294,792.834110592938,490.8471267728041,240930.90186111722,-1.909996699765167,-0.006769609134417494,38,1294,249,297,345,393,521,1294,1294,1294,1294,0.016612430248381015,0.026898146698111292,0.0007235102957931154,366.9733139517166,11.994495804936182,0,0.8888030052185059,0.000011920928955078125,0.000014066696166992188,0.00018310546875,0.00023102760314941406,0.0013740062713623047,0.011054197947184246,0.024638843536376954,0.03849515914916993,0.053766377766927144,0.01154325033722329,0.027427297574102345,0.0007522566522183603,692.4696444229174,21.992718567948963,0,0.8888030052185059,0.000010013580322265625,0.000011920928955078125,0.000012874603271484375,0.000014066696166992188,0.000019431114196777344,0.008498557408650716,0.014937527974446585,0.023600959777832022,0.03329505125681559,0.021698496168569913,0.02535779825387177,0.0006430179322840623,1.4530437752150789,0.8599504629854842,0.00007390975952148438,0.22961997985839844,0.00018450419108072917,0.0002040863037109375,0.00023578008015950517,0.0003120899200439453,0.002485990524291992,0.02792503039042155,0.04209863344828287,0.05156741142272949,0.05884299278259277,2.3145539906103285,0.7051949506672013,0.49729991844651644,2.738083272057013,2.040403783093766,2,5,2,2,2,2,2,2,2,2,4,1844.2676056338028,548.0452348159222,300353.5794044393,3.1398508065373587,2.1948183151706884,1394,3714,1543,1575,1591,1623,1639,1671,1703,1767,3150,2.32967032967033,0.8901777209265335,0.7924163748339572,64.52029761185415,5.755078609489583,2,15,2,2,2,2,2,2,2,2,4,1730.729984301413,645.1404938165424,416206.25676185224,76.42118618972763,6.304658406224621,1319,11323,1415,1447,1479,1511,1543,1559,1607,1661.4000000000005,2955.8666666666686,2025-04-06 04:03:52.875392,1
3922,1611,2311,4205613,1641977,2563636,1072.3133605303417,309.9493945797997,96068.62720038436,1.6683147075079825,-1.3994024439084765,16,1300,745,809,857,1113,1294,1294,1294,1294,1294,1019.2284295468653,325.8844889645545,106200.70014768885,0.7671746455032293,-1.0681952936258867,16,1297,713,761,809,873,1289,1294,1294,1294,1294,1109.3189095629598,292.69728926499727,85671.7031430775,2.773128147654548,-1.6993537255359175,25,1300,777,841,921,1294,1294,1294,1294,1294,1294,0.012740928340523682,0.024399243128830492,0.000595323065259782,492.838126520072,14.044376226387705,0,0.9229550361633301,0.000012874603271484375,0.00006594657897949222,0.00011587142944335938,0.00018906593322753906,0.0003960132598876953,0.005148649215698246,0.0116141160329183,0.027789163589477542,0.04690736134847006,0.012815728394881539,0.027868816636062575,0.0007766709406944781,704.4201472974061,21.969730439271192,0,0.9229550361633301,0.000007867813110351563,0.000011920928955078125,0.000014066696166992188,0.002356656392415366,0.00584256649017334,0.008607562383015948,0.015662376085917123,0.024582290649414053,0.037471985816955565,0.01268881752809783,0.021655880734184618,0.0004689771703732285,0.5053618280118495,1.4557594140705814,0.000012874603271484375,0.08716607093811035,0.00007295608520507813,0.00009608268737792969,0.0001270771026611328,0.00017905235290527344,0.0002319812774658203,0.00045536359151204407,0.005181646347045897,0.034099054336547883,0.05490800539652511,3.710569105691057,1.3019568141983098,1.695091546037412,4.428932109585872,1.9613625538826447,2,11,3,3,3,3,3,3,4,4,6,4139.536585365854,1452.1753219686261,2108813.1657346827,3.980940296408728,1.999347675037741,1856,11832,3349,3381,3413,3445,3461,3509,3573,4521.400000000003,6842,2.7019400352733687,1.1505905744988407,1.3238586701255723,8.136985296331758,2.3217444904794964,2,10,2,2,2,2,2,2,3,4,4,2764.7072310405642,1196.960591896998,1432714.658554412,9.396156318508705,2.4465400656376954,84,11053,2023,2055,2087,2119,2167,2244.866666666667,2634.8666666666663,4078,4237.733333333334,2025-04-05 19:32:06.890440,1
3047,1526,1521,2651964,1193882,1458082,870.3524778470627,443.59726049330135,196778.52951716186,-1.5095548068892293,-0.33548776901556066,16,1294,249,345,569,681,889,1294,1294,1294,1294,782.3604193971166,503.83980099342375,253854.54506509285,-1.9008911784308398,-0.024667837725432306,16,1294,201,265,313,377,561,1294,1294,1294,1294,958.6337935568705,352.06993901953217,123953.24196121709,-0.8429462314323128,-0.4835332364411145,38,1294,585,633,681,745,937,1294,1294,1294,1294,0.016407458389267198,0.02678726721299021,0.0007175576847401403,335.4213339566118,11.364966258847138,0,0.8673160076141357,0.000010967254638671875,0.000013828277587890625,0.00018923282623291017,0.00026413599650065107,0.0017044544219970703,0.010996198654174803,0.021172889073689784,0.03874468803405769,0.053594438234965035,0.011218768885878265,0.027223515217349246,0.000741119780789246,644.8476348847404,21.226445829027544,0,0.8673160076141357,0.000010013580322265625,0.000010967254638671875,0.000011920928955078125,0.000013828277587890625,0.0005879402160644531,0.008330647150675451,0.01490340232849121,0.021216964721679686,0.03241456349690753,0.02160979336143559,0.025295771067819835,0.000639876033915551,-1.361706895743818,0.5972138271281452,0.00006198883056640625,0.07698297500610352,0.0001881122589111328,0.00021600723266601563,0.0002606391906738281,0.00035711924235026045,0.0026450157165527344,0.020761887232462566,0.04292232195536294,0.05234198570251464,0.06068019866943359,2.442088091353997,0.8170233315988873,0.6675271243769454,1.1487648610705063,1.5773327522472058,2,6,2,2,2,2,2,2,2,3,4,2355.8221859706364,773.6761166482354,598574.7334718939,1.1264398239560451,1.6787888820305135,1767,5197,1879,1911,1943,1975,2007,2039,2119,2359.000000000001,3950,2.4217252396166136,0.9049601837050049,0.8189529340913961,13.41167473622042,2.768533756866148,2,11,2,2,2,2,2,2,2,3,4,1895.164536741214,714.9857212237597,511204.5815538598,24.825561411242987,3.4944297313707597,98,9854,1479,1527,1559,1591,1623,1671,1719,1831,3182,2025-04-06 01:07:18.061786,1
3031,1519,1512,2850120,1290623,1559497,940.323325635104,385.24104857014385,148410.66550342392,-1.133541123612728,-0.529471488641627,38,1294,409,489,729,825,1001,1294,1294,1294,1294,849.6530612244898,439.70895886682285,193343.9685077453,-1.7964562369849237,-0.07253522806848328,38,1294,361,409,457,505,665,1294,1294,1294,1294,1031.4133597883597,294.47034849754806,86712.78614426739,1.0122848295489133,-0.9930439402376735,38,1294,738.0666666666666,793,841,889,1065,1294,1294,1294,1294,0.016488417776504366,0.024870714252317242,0.000618552427420416,627.1546761857984,17.288336976041858,0.0000030994415283203125,0.9405899047851563,0.000014066696166992188,0.00015144348144531257,0.00020003318786621094,0.0004955132802327474,0.006290435791015625,0.01856120427449544,0.027450617154439288,0.03427114486694336,0.043461751937866236,0.019919447905147186,0.031175748101177476,0.0009719272696680709,498.62656921668435,17.143211273700995,0.0000030994415283203125,0.9405899047851563,0.000012159347534179688,0.000014066696166992188,0.000015974044799804688,0.005675395329793295,0.006843090057373047,0.025981187820434563,0.0330310265223185,0.040612220764160156,0.04962857564290364,0.013043772448938359,0.015494871432788295,0.0002400910407186388,1.0261466973333828,1.0496308046750646,0.00007700920104980469,0.11856198310852051,0.00017404556274414063,0.0001919269561767578,0.00021505355834960938,0.0003044923146565755,0.0039179325103759766,0.014577325185139975,0.022132500012715647,0.028454732894897448,0.035464795430501295,2.1002785515320332,0.36332560251059215,0.1320054934396848,17.50511071522544,4.029587519150791,2,5,2,2,2,2,2,2,2,2,2,2170.5473537604457,285.6114632236463,81573.90792475226,40.14967506833283,6.022368749956142,1559,4382,2023,2055,2071,2103,2119,2151,2168.333333333333,2215,2285.666666666667,2.1179775280898876,0.42414800198150265,0.1799015275849008,56.90356463527248,5.880749384795484,2,8,2,2,2,2,2,2,2,2,2,1802.7612359550562,321.18989930988994,103162.95141869722,101.36308570222722,7.8872672228491485,132,6941,1655,1687,1703,1735,1751,1783,1799,1847,1911,2025-04-05 02:37:19.114812,1
5809,2481,3328,6269335,2569406,3699929,1079.245136856602,401.34508370435276,161077.87621365394,1.0375421952749333,-1.6280148536713506,25,1294,217,809,1294,1294,1294,1294,1294,1294,1294,1035.6332124143491,425.29678104148275,180877.35196424692,0.16292395445411456,-1.3309201854599286,25,1294,153,665,1065,1294,1294,1294,1294,1294,1294,1111.7575120192307,379.2657749369451,143842.52803852147,1.9990289815496274,-1.9016438454513098,25,1294,313,1049,1294,1294,1294,1294,1294,1294,1294,0.008606174637463467,0.01856729844478747,0.00034474457153780717,1093.3042661244688,22.788071879415046,0,0.9404129981994629,0.000016927719116210938,0.0000629425048828125,0.00009012222290039063,0.00013899803161621094,0.00025391578674316406,0.004727760950724283,0.006812095642089843,0.016929149627685547,0.028904994328816727,0.013641242442592497,0.023735956105317774,0.0005633956122335721,935.1795916551439,24.34031876813316,0,0.9404129981994629,0.000007867813110351563,0.000014066696166992188,0.003838062286376953,0.005765406290690105,0.006320953369140625,0.010036134719848632,0.01963222026824951,0.026867723464965826,0.03370537757873535,0.004854080840372122,0.01219988702409474,0.0001488372434006752,25.16384634892311,4.019047731822767,0.000013828277587890625,0.18671202659606934,0.00004696846008300781,0.00007700920104980469,0.00008797645568847656,0.00009512901306152344,0.00013208389282226563,0.00019105275472005207,0.00028932094573974674,0.004323005676269543,0.01879223187764486,4.849478390461997,1.983462671455184,3.934124169056135,9.735878001991594,2.599214164551151,2,18,3,4,4,4,4,5,5,6,6,5483.055141579732,2338.2704006183712,5467508.466407998,9.387415442554698,2.5030091574917006,1398,20141,3388.4666666666667,3907,4179,4467,5075,5610.5999999999985,6273,6517.4000000000015,6957.400000000002,3.789389067524116,1.8744388089842943,3.51352084862646,26.376773746985247,3.552280820534211,2,24,2,2,3,3,3,4,4,5,6,3895.897106109325,1916.0201942858628,3671133.384911235,36.17828594602767,4.065070127532202,309,26840,2316.6000000000004,2588,2961.133333333333,3269,3477,3923,4099,4879.800000000004,5859.166666666667,2025-04-07 11:32:07.634694,1
5317,2312,3005,5774651,2676901,3097750,1086.073161557269,381.37643829761544,145447.98768857488,1.0538778687479864,-1.6396400198604946,16,1294,281,953,1294,1294,1294,1294,1294,1294,1294,1157.829152249135,251.1825935291196,63092.69529201491,8.212087169574696,-2.6965682989822892,16,1294,921,985,1081,1294,1294,1294,1294,1294,1294,1030.865224625624,449.223157309985,201801.44506355157,-0.58392966086745,-1.16036288129088,38,1294,249,329,1294,1294,1294,1294,1294,1294,1294,0.00940502559986215,0.01975650427008553,0.0003903194609739079,884.7935367328993,19.977306310990503,0,0.929487943649292,0.00004601478576660156,0.00008511543273925781,0.00010704994201660156,0.00019288063049316406,0.0009400844573974609,0.0053103288014729804,0.0065708160400390625,0.017025089263916014,0.03239582379659016,0.01134584312158351,0.023052810200723205,0.0005314320581505679,1087.208371268043,27.752707803992006,0,0.929487943649292,0.000011205673217773438,0.0009630203247070314,0.004600429534912109,0.005722713470458985,0.006055116653442383,0.006852165857950845,0.012316910425821939,0.018816232681274414,0.028185399373372416,0.007912436816934341,0.01663345818887721,0.00027667193132112626,3.5371981935440093,2.1526328040410347,0.000015974044799804688,0.08260989189147949,0.000050067901611328125,0.00008106231689453125,0.00008893013000488281,0.000102996826171875,0.00014281272888183594,0.00019693374633789063,0.0003838539123535156,0.01051979064941407,0.03675317764282228,4.5220700152207005,1.8571225286507274,3.4489040864220715,28.823998997595478,4.569888223451253,2,24,4,4,4,4,4,4,4,4,5,4689.669710806697,2017.3443336018363,4069678.1603154372,28.67108618141472,4.680128399766148,1367,24642,4051,4099,4115,4147,4163,4195,4227,4291,5646.866666666683,3.632520325203252,1.7245004430391353,2.973901778042174,26.136735593743833,3.731367709312465,2,22,2,3,3,3,3,3,4,4,6,4207.790243902439,1943.9457158692178,3778924.946246286,28.412742441157175,3.807102025972587,989,25558,2379,3467.4,3541,3573,3621,3671.133333333333,4289.2,4934.200000000001,6400.266666666679,2025-04-06 10:02:07.343406,1
5308,2295,3013,5845658,2652894,3192764,1101.2920120572721,345.9574063556155,119686.52701230448,1.1802216278837232,-1.6249592753331956,16,1294,425,937,1288.1666666666652,1294,1294,1294,1294,1294,1294,1155.9450980392157,250.3471411928281,62673.691103421814,8.130483005713325,-2.6569992505289184,16,1294,921,985,1065,1294,1294,1294,1294,1294,1294,1059.66279455692,398.8796904258333,159105.00743420862,-0.46550291910799935,-1.1784455723559881,38,1294,377,457.0000000000018,1294,1294,1294,1294,1294,1294,1294,0.009420775864024115,0.02043287273700894,0.0004175022882868032,809.1228040972832,18.756654878905504,0,0.9397299289703369,0.00007390975952148438,0.00009107589721679688,0.0001380443572998047,0.00021530787150065124,0.0008118152618408203,0.003931109110514321,0.0063573996225992834,0.015126609802246092,0.034901046752929626,0.011035015194334979,0.023885471366865006,0.0005705157424173281,993.9162972452955,25.980013807239818,0,0.9397299289703369,0.000010013580322265625,0.0007441043853759766,0.0011115074157714852,0.004929192860921224,0.00592494010925293,0.0063756783803304035,0.011039392153422038,0.017750120162963873,0.03229769070943198,0.008191746649376545,0.01724843097892996,0.00029750837123491074,3.6894832930350283,2.197938604612011,0.00003314018249511719,0.0767669677734375,0.0000858306884765625,0.00009012222290039063,0.00009894371032714844,0.00014090538024902344,0.00018906593322753906,0.00024040540059407545,0.0005359649658203125,0.01058292388916022,0.037353038787841825,4.703001579778831,2.9498612431549955,8.701681353867935,156.84653537399168,9.939386202129137,2,57,4,4,4,4,4,4,4,4,8,5018.327014218009,3134.1504915693185,9822899.3038042,148.32837978645242,9.624322257578003,320,59762,4195,4243,4275,4291,4323,4339,4371,4419,8502,3.7508474576271187,1.9161997066365162,3.6718213157138706,13.443844949682827,3.2692661956384423,2,16,3,3,3,3,3,3,4,4,6,4341.4610169491525,2139.203829641184,4576193.024751508,12.567457004647533,3.2158383034287046,1442,18156,3365,3509,3541,3573,3605,3637,3725,4851,6888.400000000005,2025-04-07 09:03:52.852921,1
3038,1522,1516,2843841,1289061,1554780,936.0898617511521,388.12108732861304,150637.9784291449,-1.1733568982630556,-0.5067336113807793,38,1294,393,489,713,809,985,1294,1294,1294,1294,846.9520367936925,441.6280308961936,195035.31767324932,-1.806426631553185,-0.06453373206720098,38,1294,361,409,441,505,665,1294,1294,1294,1294,1025.5804749340368,300.13223029356277,90079.3556609882,0.8046069565816878,-0.9475552031611914,38,1294,729,777,825,873,1065,1294,1294,1294,1294,0.01645588639302987,0.025289036369682116,0.0006395353605071048,574.9678869062589,16.231691085089807,0.0000030994415283203125,0.936600923538208,0.000014066696166992188,0.00011763572692871107,0.00019407272338867188,0.0003150145212809245,0.006067037582397461,0.01716151237487793,0.026031796137491865,0.03507170677185059,0.04551655451456708,0.02074273427327474,0.03188262409643995,0.0010165017192748933,445.0220284727586,15.712241049784142,0.0000030994415283203125,0.936600923538208,0.000012159347534179688,0.000014066696166992188,0.000015974044799804688,0.002008152008056641,0.006268024444580078,0.027899535497029622,0.03772414525349933,0.0438878059387207,0.05131662686665852,0.012154899832441184,0.014979637795511818,0.00022438954848472617,2.769375434408862,1.4251044093366596,0.00007605552673339844,0.1160440444946289,0.0001709461212158203,0.0001919269561767578,0.000219273567199707,0.00030579566955566404,0.004120469093322754,0.013641119003295898,0.019412414232889804,0.024859046936035155,0.03170069853464762,2.1707317073170733,0.4948557850138237,0.24488224796164773,7.951694727461025,2.9611425654796104,2,5,2,2,2,2,2,2,2,2,3,2227.9698708751794,458.241035931846,209984.84701189137,14.165910630150936,3.8714089629375144,1639,4622,2007,2053.4,2071,2087,2119,2135,2167,2231,2342.466666666667,2.1881331403762663,0.5662258473473071,0.3206117102041759,34.12378331602192,4.546760687461729,2,9,2,2,2,2,2,2,2,2,3,1854.5296671490594,442.08877666940685,195442.4864570527,35.80094773387886,4.806953702913045,132,7132,1655,1687,1703,1735,1751,1783,1799,1847,1963.2666666666673,2025-04-05 02:35:35.519691,1
3964,1574,2390,4514883,1728449,2786434,1138.9714934409687,284.35417549028307,80857.2971187587,6.275212359166524,-2.5371246068311275,16,1294,905,1017,1097,1294,1294,1294,1294,1294,1294,1098.1251588310038,276.00732493975687,76180.04342040054,4.859895508177185,-2.086449387514237,16,1294,873,953,1001,1065,1291.5,1294,1294,1294,1294,1165.8719665271967,286.5575152545342,82115.20954885262,7.723176084269104,-2.9031328711255147,25,1294,969,1097,1209,1294,1294,1294,1294,1294,1294,0.01261677580772552,0.021464338655013338,0.00046071783389709973,733.7470928711984,18.45725745959876,0,0.8990278244018555,0.00008988380432128906,0.0001170635223388673,0.00019693374633789063,0.0003990332285563151,0.005759000778198242,0.007020950317382815,0.018125375111897796,0.026265859603881843,0.038248221079508475,0.01766350340555219,0.027286444490920943,0.0007445500529561098,690.8249500086804,21.79664729824013,0,0.8990278244018555,0.002448002497355144,0.005759000778198242,0.005983432133992513,0.006333430608113607,0.0110321044921875,0.0183591842651367,0.021952231725056955,0.029469966888427734,0.04067158699035644,0.009295226639783532,0.015688067532126992,0.0002461154628925771,1.454310908502551,1.6033750045638662,0.00003910064697265625,0.0729069709777832,0.00008893013000488281,0.00009393692016601563,0.0001309951146443685,0.00018749237060546885,0.00021386146545410156,0.00033644040425618487,0.006028453509012849,0.023049592971801768,0.036155064900716155,3.3511988716502117,0.8691154988233262,0.755361750294919,20.966049602518876,3.9102140471809097,2,10,3,3,3,3,3,3,3,4,4,3912.777150916784,862.7213387341574,744288.1083072567,32.398430899970535,5.085962677836897,1751,11965,3573,3621,3669,3686.0666666666666,3717,3765,3797,3907,4161.66666666667,2.273134328358209,0.6813248922662114,0.46420360882156453,23.213125065255383,3.9286800713088352,2,9,2,2,2,2,2,2,2,2,3,2492.720895522388,660.1938959954463,435855.98030964617,29.587753944508627,4.457477223951071,100,9316,2183,2215,2247,2279,2311,2343,2375,2439,3125,2025-04-06 20:35:18.097058,1
3013,1506,1507,2289097,1093216,1195881,759.740126120146,526.17985751605,276865.24245561066,-1.8976603827937726,-0.02714783374610746,16,1294,121,217,281,361,521,1294,1294,1294,1294,725.9070385126162,556.7745943031905,309997.9488614823,-1.9474374345259045,0.008573801008999305,16,1294,104,137,201,249,409,1294,1294,1294,1294,793.5507631055076,491.3933704308585,241467.44450339893,-1.8920223108816812,-0.02052019549467433,38,1294,233,297,345,409,537,1294,1294,1294,1294,0.016600240432567012,0.026504420620738912,0.0007024843124410501,331.30392604852136,11.280579560543085,0,0.8535721302032471,0.000012874603271484375,0.000015974044799804688,0.00017690658569335938,0.00022913614908854165,0.0021505355834960938,0.01239153544108073,0.02391626834869385,0.03820724487304687,0.05158700148264568,0.019457326933395032,0.03126823884561154,0.0009777027605062107,333.98083634481105,12.840060128674153,0,0.8535721302032471,0.000011920928955078125,0.000012874603271484375,0.000014066696166992188,0.000015974044799804688,0.0014908313751220703,0.018842792510986327,0.0369599342346191,0.045722675323486325,0.05269676844278971,0.013746945685555623,0.02028146239729322,0.0004113377169728188,19.155154954317542,2.747961137967169,0.00004696846008300781,0.2758638858795166,0.00017499923706054688,0.0001919269561767578,0.00022220611572265625,0.00031234423319498696,0.002593994140625,0.010532569885253907,0.01733797391255696,0.025372886657714828,0.039773480097452754,2.3888,0.7823263769041665,0.61203456,1.5610376035675886,1.7446344177539979,2,5,2,2,2,2,2,2,2,3,4,1905.5712,611.0721189275126,373409.1345305602,1.5715073255368042,1.8070126143759913,1367,4063,1527,1559,1591,1639,1671,1703,1735,1815,3198,2.386217948717949,0.8242337878986404,0.6793613371137409,4.771516810488211,2.151833919273557,2,8,2,2,2,2,2,2,2,3,4,1728.5,584.2913579932887,341396.3910256414,9.74679677118684,2.569180910769077,1319,6791,1383,1415,1447,1479,1511,1543,1583,1655,2919.8666666666677,2025-04-07 02:09:03.766346,1
