total_packets,total_packets_in,total_packets_out,total_bytes,total_bytes_in,total_bytes_out,packet_size_mean,packet_size_std,packet_size_var,packet_size_kurtosis,packet_size_skew,packet_size_min,packet_size_max,packet_size_p_10,packet_size_p_20,packet_size_p_30,packet_size_p_40,packet_size_p_50,packet_size_p_60,packet_size_p_70,packet_size_p_80,packet_size_p_90,packet_size_in_mean,packet_size_in_std,packet_size_in_var,packet_size_in_kurtosis,packet_size_in_skew,packet_size_in_min,packet_size_in_max,packet_size_in_p_10,packet_size_in_p_20,packet_size_in_p_30,packet_size_in_p_40,packet_size_in_p_50,packet_size_in_p_60,packet_size_in_p_70,packet_size_in_p_80,packet_size_in_p_90,packet_size_out_mean,packet_size_out_std,packet_size_out_var,packet_size_out_kurtosis,packet_size_out_skew,packet_size_out_min,packet_size_out_max,packet_size_out_p_10,packet_size_out_p_20,packet_size_out_p_30,packet_size_out_p_40,packet_size_out_p_50,packet_size_out_p_60,packet_size_out_p_70,packet_size_out_p_80,packet_size_out_p_90,packet_time_mean,packet_time_std,packet_time_var,packet_time_kurtosis,packet_time_skew,packet_time_min,packet_time_max,packet_time_p_10,packet_time_p_20,packet_time_p_30,packet_time_p_40,packet_time_p_50,packet_time_p_60,packet_time_p_70,packet_time_p_80,packet_time_p_90,packet_time_in_mean,packet_time_in_std,packet_time_in_var,packet_time_in_kurtosis,packet_time_in_skew,packet_time_in_min,packet_time_in_max,packet_time_in_p_10,packet_time_in_p_20,packet_time_in_p_30,packet_time_in_p_40,packet_time_in_p_50,packet_time_in_p_60,packet_time_in_p_70,packet_time_in_p_80,packet_time_in_p_90,packet_time_out_mean,packet_time_out_std,packet_time_out_var,packet_time_out_kurtosis,packet_time_out_skew,packet_time_out_min,packet_time_out_max,packet_time_out_p_10,packet_time_out_p_20,packet_time_out_p_30,packet_time_out_p_40,packet_time_out_p_50,packet_time_out_p_60,packet_time_out_p_70,packet_time_out_p_80,packet_time_out_p_90,out_burst_packets_mean,out_burst_packets_std,out_burst_packets_var,out_burst_packets_kurtosis,out_burst_packets_skew,out_burst_packets_min,out_burst_packets_max,out_burst_packets_p_10,out_burst_packets_p_20,out_burst_packets_p_30,out_burst_packets_p_40,out_burst_packets_p_50,out_burst_packets_p_60,out_burst_packets_p_70,out_burst_packets_p_80,out_burst_packets_p_90,out_burst_sizes_mean,out_burst_sizes_std,out_burst_sizes_var,out_burst_sizes_kurtosis,out_burst_sizes_skew,out_burst_sizes_min,out_burst_sizes_max,out_burst_sizes_p_10,out_burst_sizes_p_20,out_burst_sizes_p_30,out_burst_sizes_p_40,out_burst_sizes_p_50,out_burst_sizes_p_60,out_burst_sizes_p_70,out_burst_sizes_p_80,out_burst_sizes_p_90,in_burst_packets_mean,in_burst_packets_std,in_burst_packets_var,in_burst_packets_kurtosis,in_burst_packets_skew,in_burst_packets_min,in_burst_packets_max,in_burst_packets_p_10,in_burst_packets_p_20,in_burst_packets_p_30,in_burst_packets_p_40,in_burst_packets_p_50,in_burst_packets_p_60,in_burst_packets_p_70,in_burst_packets_p_80,in_burst_packets_p_90,in_burst_sizes_mean,in_burst_sizes_std,in_burst_sizes_var,in_burst_sizes_kurtosis,in_burst_sizes_skew,in_burst_sizes_min,in_burst_sizes_max,in_burst_sizes_p_10,in_burst_sizes_p_20,in_burst_sizes_p_30,in_burst_sizes_p_40,in_burst_sizes_p_50,in_burst_sizes_p_60,in_burst_sizes_p_70,in_burst_sizes_p_80,in_burst_sizes_p_90,datetime,label
935,470,465,389192,214228,174964,416.248128342246,136.24535289813187,18562.796186336487,11.776955109309387,1.2271856041335265,38,1294,328,360,376,408,424,440,457.0666666666675,488,520,455.8042553191489,133.95640757660095,17944.31913082843,11.958216055054084,0.5367815314121175,38,1294,408,440,440,456,472,472,488,504,536,376.26666666666665,126.52230823173731,16007.894480286745,18.80429181511068,2.3233612711599183,38,1294,312,344,344,360,376,392,408,408,440,0.032108571595757626,0.03132806553765816,0.0009814476903318053,479.24555527173453,18.651899486626146,0,0.8435490131378174,0.00979004700978597,0.01581854820251465,0.020916167894999185,0.025308704376220702,0.030242919921875,0.03665882746378581,0.042310627301534016,0.04620628356933594,0.05233163833618164,0.0429323324516638,0.0394774131324439,0.0015584661476296538,357.7613047004161,17.720877624868397,0,0.8435490131378174,0.023642826080322272,0.034249162673950194,0.03759137789408366,0.04117350578308106,0.04350590705871582,0.045708910624186194,0.049528280893961586,0.05139036178588867,0.05553552309672037,0.02119170311958559,0.012732872511486927,0.00016212604239377942,23.623097021130935,3.1764753653701274,0.00012111663818359375,0.1360170841217041,0.008667357762654622,0.011962556838989257,0.015543985366821288,0.017343982060750326,0.020680904388427734,0.0230589230855306,0.025510485967000323,0.028464460372924803,0.03256112734476725,2.088235294117647,0.2836367870880282,0.08044982698961943,6.43010752688172,2.9034647452451905,2,3,2,2,2,2,2,2,2,2,2.2333333333333343,657.1764705882352,455.5049215584985,207484.73356401385,5.630391694909482,2.6900038033727682,432,2120,432,464,464,480,488,496,528,675.2,1142.1333333333346,2.235294117647059,0.8764508485736083,0.768166089965398,22.745191137083005,4.767021927303934,2,7,2,2,2,2,2,2,2,2,3,806.5882352941177,658.1041450590815,433101.06574394455,14.122320395467728,3.701625446878798,512,4008,528,544,560,576,584,592,613.8666666666667,870.4000000000001,1292.8000000000009,2025-05-16 02:22:43.888119,0
939,472,467,357084,205910,151174,380.2811501597444,160.3198539354259,25702.45556587629,13.862273770847597,2.599627170980091,38,1294,280,296,312,328,392,424,440,456,472,436.25,149.54659228050596,22364.183262711882,14.614401328912063,2.083305311175316,38,1294,392,408,424,424,440,440,456,456,488,323.7130620985011,150.6999340715432,22710.470129167465,24.785320159290222,4.2540091812633305,38,1294,264,280,296,296,312,312,328,344,376,0.031933763388123336,0.0349398984799312,0.0012207965057878987,273.9274933192778,12.380185609564231,0,0.8201930522918701,0.003592371940612793,0.0072591304779052734,0.011429349581400553,0.016175031661987305,0.024481892585754395,0.042670567830403655,0.05147262414296468,0.05576801300048828,0.061254739761352546,0.023873323594435513,0.0412945900365535,0.0017052431662870238,290.7162302278026,15.30140000963276,0,0.8201930522918701,0.003793605168660482,0.006795644760131836,0.010032431284586587,0.012971146901448568,0.01569819450378418,0.01926363309224446,0.02549556096394856,0.0387370109558105,0.05567973454793294,0.040063243351350246,0.024506831311992352,0.0006005847809544488,1.6067212742115498,0.06004555677185024,0.00011610984802246094,0.17343807220458984,0.003565263748168945,0.008318328857421875,0.0237521489461263,0.04416286150614421,0.04931998252868652,0.05289444923400879,0.05578158696492513,0.059262323379516604,0.06468324661254882,2.219178082191781,0.555090399708351,0.30812535184837686,9.03334886156777,2.9186401398834385,2,5,2,2,2,2,2,2,2,2,3,701.8356164383562,578.5907066785267,334767.2058547569,17.917394132298043,4.359205709471345,384,3542,400,432,560,592,608,608,640,712,738.6666666666665,2.223684210526316,0.8675234595724703,0.7525969529085875,46.28456771866026,6.444308484260195,2,9,2,2,2,2,2,2,2,2,3,957,764.256191545603,584087.5263157894,27.657599332932318,5.0830163925930645,512,6078,528,560,816,848,864,882.1333333333333,908.2666666666667,934.4,1032.2666666666667,2025-05-17 09:18:26.666736,0
934,469,465,513600,281068,232532,549.8929336188437,156.26145283375266,24417.641641715105,5.884836579223556,-0.8847783618565974,38,1294,472,504,520,536,568,600,616,632,664,599.2921108742004,156.62765988062483,24532.223839680697,7.377844357477018,-1.6995578864194472,38,1294,568,584,600,616,632,632,648,664,680,500.06881720430107,139.1343266616483,19358.36085559025,9.77420186912935,-0.358466181947734,38,1294,456,488,502.9333333333334,504,520,520,536,552,569.0666666666666,0.032121366754349914,0.03619189249526801,0.001309853082389037,243.98933677316987,11.352964581081624,0,0.8246569633483887,0.0032921632130940757,0.0058071613311767595,0.009207010269165037,0.013209899266560875,0.022943973541259766,0.04487236340840658,0.054932832717895515,0.059479951858520515,0.06341036160786946,0.04429772776416224,0.04256350137611302,0.001811651649394375,238.61179033962614,13.014135360433515,0,0.8246569633483887,0.0037912130355834965,0.010233879089355469,0.036016384760538735,0.048525333404541016,0.05333304405212402,0.056236982345581055,0.05878178278605143,0.0608830451965332,0.06361353397369385,0.019866448576732348,0.02248140960566095,0.0005054137778575043,4.487660237442628,1.9250779711904709,0.000080108642578125,0.15050220489501953,0.0026224931081136067,0.004728269577026367,0.0063931941986083984,0.008272186915079752,0.010854959487915039,0.013688437143961589,0.018061987559000646,0.029440593719482416,0.06275620460510253,2.164705882352941,0.4013816966878112,0.16110726643598608,4.814335565238958,2.3384959507447887,2,4,2,2,2,2,2,2,2,2,3,1047.8117647058823,310.05299334971926,96132.85868512106,11.551898733383089,2.5574762999132443,572,2768,636,966.4,1008,1024,1040,1056,1073.0666666666666,1106.4,1172,2.1444444444444444,0.5880497165510774,0.3458024691358024,49.04997004053606,6.515478499151311,2,7,2,2,2,2,2,2,2,2,2.6333333333333258,1210.9333333333334,407.0991361654635,165729.7066666666,36.4519837895652,4.8336121280676165,656,4344,752,995.1999999999996,1216,1232,1232,1256.5333333333333,1289.0666666666666,1324.8,1373.0666666666666,2025-05-15 20:49:51.898554,0
918,461,457,323098,162897,160201,351.958605664488,84.32577937063742,7110.837066465419,7.460275737316017,-0.5715581849163218,60,847,312,328,344,344,360,376,376,392,424,353.35574837310196,85.94246747920324,7386.107716413908,8.408674330387957,-0.3271727569784774,60,847,312,328,344,344,360,376,376,392,424,350.5492341356674,82.63898368288376,6829.20162413993,6.282173151668221,-0.8528217989328492,60,767,312,328,344,344,360,376,376,392,408,0.03269151252904661,0.03613548044094218,0.0013057729466977152,246.33897053153913,11.53410945258268,0,0.8221840858459473,0.0026491165161132814,0.006454753875732422,0.010247023900349934,0.01604431470235189,0.026638031005859375,0.04401135444641113,0.0531123161315918,0.05846986770629883,0.06352157592773437,0.02397361423658288,0.042296826523011505,0.0017890215339177293,273.093565240267,14.750388422044047,0,0.8221840858459473,0.002680023511250814,0.006873559951782226,0.009172956148783365,0.012178643544514974,0.015316963195800781,0.019017537434895832,0.02475170294443766,0.0426194667816161,0.05613679091135661,0.041466639913145774,0.02580404078108654,0.0006658485206319772,0.826077776323507,-0.10991050314262323,0.00011897087097167969,0.16570305824279785,0.00262753168741862,0.0058840751647949215,0.031432422002156575,0.04451861381530762,0.051106929779052734,0.056407785415649406,0.05928052266438802,0.06288352012634277,0.06592604319254557,2.1030927835051547,0.30408002481964164,0.09246466149431389,4.814942528735632,2.610544488940121,2,3,2,2,2,2,2,2,2,2,2.933333333333323,695.2371134020618,133.59091064178185,17846.53140610054,0.6375425389093352,-0.20608897189384426,384,1104,465.0666666666667,636.8,672,692.2666666666668,720,736,752,785.6,832,2.089108910891089,0.3749325985893364,0.14057445348495248,35.044971785041106,5.4727375238924685,2,5,2,2,2,2,2,2,2,2,2,701.8415841584158,218.26887464110504,47641.301637094424,31.247129051722382,4.279445674201559,400,2367,448,505.59999999999997,667.7333333333333,688,704,736,752,784,836.2666666666667,2025-05-16 19:21:18.913933,0
942,473,469,380356,215198,165158,403.77494692144376,165.47395831300543,27381.630879774253,11.716025347795751,2.2762681723041225,38,1294,296,328,344,360,408,440,456,472,494.9333333333343,454.9640591966173,156.9504869947146,24633.45536787808,12.18253789651162,1.7609708311849732,38,1294,408,440,440,456,456,456,472,488,520,352.14925373134326,157.62410788466553,24845.35938643668,18.916158457850923,3.545250925830805,38,1294,280,312,312,328,328,344,360,376,408,0.03186417436751752,0.03552128009533823,0.0012617613396114719,278.83381770118314,12.496029368108623,0,0.8376181125640869,0.00342256228129069,0.007065439224243167,0.01071642239888509,0.015787569681803386,0.02367115020751953,0.040832932790120444,0.051409832636515294,0.0577009677886963,0.06218770345052084,0.0201065191778086,0.04174880419093393,0.0017429626513729424,308.71500626350706,16.029270237998457,0,0.8376181125640869,0.0031019210815429687,0.005295705795288086,0.007794674237569173,0.009839121500651042,0.011908411979675293,0.01479825973510742,0.01965824762980142,0.02769207954406738,0.049782331784566244,0.04369703843903694,0.022323498231348025,0.0004983385732849984,0.2545054480599722,-0.5379144991386924,0.00006198883056640625,0.14965486526489258,0.004710086186726888,0.019458484649658204,0.03849627176920573,0.04694685935974121,0.051614999771118164,0.055074262619018544,0.058490403493245434,0.061677742004394534,0.06491759618123373,2.1392405063291138,0.4964220645855082,0.24643486620733848,16.421168288067673,3.9996171055726686,2,5,2,2,2,2,2,2,2,2,2,783.9493670886076,678.9613045914402,460988.45313251053,19.759292792014126,4.473194608943366,384,4446,432,499.2,624,640,656,672,704,748.8000000000001,871.4666666666662,2.1772151898734178,0.545626887651957,0.2977087005287613,28.164778382487068,4.7579290368994585,2,6,2,2,2,2,2,2,2,2,3,944.632911392405,586.7893801342686,344321.77663835924,16.794014079837773,4.060813466418466,510,3776,560,579.2,818.1333333333332,880,896,928,950.9333333333333,974.4000000000001,1048,2025-05-17 10:48:27.804232,0
940,473,467,365300,207118,158182,388.6170212765957,158.92404892683007,25256.85332729748,12.739223098148704,2.397597145139403,38,1294,296,312,328,344,392,408,424,440,488,437.8816067653277,153.74161741688388,23636.484925959492,12.273331339450515,1.881675595562598,38,1294,392,408,408,424,424,440,440,472,520,338.71948608137046,148.15564369769686,21950.094759478907,21.797428616357013,3.750326429879807,38,1294,280,296,312,312,328,328,344,347.1999999999998,424,0.03193781449518011,0.0305301354110378,0.0009320891682163044,494.8356845085387,19.122104051630547,0,0.8299551010131836,0.009401861826578777,0.017737531661987306,0.0235502560933431,0.027247095108032228,0.03181886672973633,0.035809167226155604,0.039504750569661455,0.04364900588989258,0.05002508163452149,0.04054331880504802,0.03896521194629578,0.001518287742019751,353.9918676571326,17.562753282626485,0,0.8299551010131836,0.021304782231648764,0.030614233016967772,0.03539503415425618,0.03822113672892253,0.040173888206481934,0.043219900131225585,0.04582947889963786,0.049823427200317384,0.05454138914744057,0.02324017416486393,0.013752012571092454,0.00018911784975548488,33.62514702769292,3.5843986392496983,0.00008702278137207031,0.15980291366577148,0.006730270385742188,0.013449716567993163,0.01701529820760091,0.0209107240041097,0.02369999885559082,0.02595240275065104,0.02859787940979004,0.032175111770629886,0.036561028162638336,2.193548387096774,0.5913000896717212,0.34963579604578554,5.440476190476181,2.727723627949902,2,4,2,2,2,2,2,2,2,2,3.066666666666663,724.1935483870968,870.7978328893731,758288.8657648285,5.53390201781022,2.733298107257984,384,3510,400,400,416,429.8666666666667,432,448,452.2666666666666,512,1937.0666666666618,2.3125,1.260890062614501,1.5898437500000002,21.834855628467423,4.728583215939303,2,9,2,2,2,2,2,2,2,2,2.4333333333333336,925.0625,1159.7362829944357,1344988.2460937498,10.89799738003704,3.371005896249369,496,6126,512,528,528,528,544,544,560,611.2000000000005,2104.2000000000003,2025-05-17 09:19:51.682452,0
932,468,464,465200,259692,205508,499.14163090128756,151.8081057477851,23045.700970730704,6.121515891001252,-0.13301937458811233,38,1294,408,440,456,472,504,552,568,584,632,554.8974358974359,151.00641773962315,22802.938198553573,7.368882370564815,-1.0614485846326707,38,1294,504,536,552,568,568,584,600,616,648,442.9051724137931,130.355315384944,16992.508249108218,13.425705067344001,0.8011003023685324,38,1294,392,424,424,440,440,456,472,488,520,0.03217929748920314,0.031207652125424132,0.0009739175511814893,502.6487988527886,19.364915019738905,0,0.8494079113006592,0.008128754297892253,0.018345737457275392,0.0243160088857015,0.028525670369466145,0.031793832778930664,0.03507533073425293,0.038676548004150386,0.043971109390258806,0.05070708592732748,0.026717810865643194,0.04018844690580657,0.0016151112647008338,373.07109390125373,18.365713186008495,0,0.8494079113006592,0.006330442428588867,0.01267728805541992,0.018962939580281574,0.022395976384480796,0.026118993759155273,0.028988440831502274,0.031702216466267905,0.03466320037841797,0.039517577489217116,0.03767609544869127,0.01638116944289193,0.0002683427123167362,7.7236349814525465,0.7620806037532979,0.0001049041748046875,0.15010905265808105,0.01642991701761882,0.027989721298217776,0.03202291329701742,0.035424232482910156,0.038428425788879395,0.04240895907084147,0.04484415849049886,0.04948744773864746,0.055663013458251955,2.09375,0.29148059540902554,0.08496093750000006,5.7701149425287355,2.7874925905782657,2,3,2,2,2,2,2,2,2,2,2.4333333333333336,720.75,444.03314910037955,197165.43749999988,5.190280867196366,2.6350531755454116,512,2088,528,528,544,548.2666666666667,560,576,592,640,1450.9333333333336,2.1875,0.7261843774138905,0.5273437499999998,20.84312757201646,4.59402765313097,2,6,2,2,2,2,2,2,2,2,2.4333333333333336,866,563.6452785218731,317696,11.29520210500368,3.399219896940446,576,3424,640,656,672,672,688,704,720,736,1506.9333333333334,2025-05-15 23:18:28.057907,0
941,473,468,556123,282525,273598,590.9914984059511,181.14196712809056,32812.41225503424,4.733451159009528,-0.4110241460539782,38,1294,488,536,563.7333333333327,584,616,632,648,680,712,597.3044397463002,178.79159895718544,31966.435857667035,5.278681031203886,-0.6037960220115983,38,1294,504,536,568,600,616,648,664,680,712,584.6111111111111,183.2660320654699,33586.438509021835,4.294070831493746,-0.22636543804942083,38,1294,474.66666666666674,520,552,584,600,616,632,648,712,0.031886334114886346,0.030771318150378833,0.0009468740207118338,524.3226826088949,19.932476838930146,0.000011920928955078125,0.8481709957122803,0.009883546829223634,0.018198966979980472,0.02364343802134196,0.02806804974873861,0.031640052795410156,0.034546550114949545,0.03835469086964925,0.043520355224609376,0.05001162687937421,0.02907021318451833,0.0397668240028034,0.0015814002912699406,378.37711029179525,18.501661734510723,0.000011920928955078125,0.8481709957122803,0.009952449798583984,0.015510272979736327,0.0208924929300944,0.024997790654500324,0.02832949161529541,0.031215556462605792,0.03380357424418132,0.03816661834716797,0.04412992000579834,0.03472652445491563,0.017054601961511248,0.00029085944806558336,6.189718905921467,0.8111467231810934,0.00009584426879882813,0.14781403541564941,0.009507258733113607,0.021783828735351563,0.027855277061462406,0.032600720723470054,0.03585803508758545,0.03878593444824219,0.04339265823364257,0.047120094299316406,0.05373819669087728,2.1714285714285713,0.5598833697790123,0.31346938775510225,6.7604166666666625,2.9598001058630063,2,4,2,2,2,2,2,2,2,2,2.26666666666668,1021.3142857142857,691.6775372311898,478417.81551020406,5.283926117495259,2.5623778675532125,560,3286,640,678.4,718.9333333333334,727.4666666666667,752,776.5333333333333,962.1333333333333,1136,1665.866666666677,2.2857142857142856,1.057528887046957,1.1183673469387754,21.570168895519174,4.629400457243091,2,8,2,2,2,2,2,2,2,2,3,1065.4,918.7658243535183,844130.64,9.648260276713046,3.203666233295129,592,5101,685.8666666666667,688,704,720,768,768,787.2,1008.0000000000002,1616.0000000000127,2025-05-17 11:52:42.670239,0
947,472,475,812775,396448,416327,858.2629355860612,254.7667412118534,64906.09242770749,4.063221598385226,-1.9644671564670098,25,1294,761.0666666666668,824,856,872,888,920,943.4666666666672,984,1080,839.9322033898305,238.0542499349555,56669.82591209426,4.601394872854689,-2.0282373013602,38,1294,760,808,824,856,872,888,920,952,1032,876.4778947368421,269.1183051056473,72424.66214293629,3.7899144539248804,-1.971960384564022,25,1294,792,856,872,888,920,936,968,1016,1096,0.0316899082373363,0.03094582611105624,0.0009576441536957301,637.6560961753872,22.940999166527146,0.000007867813110351563,0.8950798511505127,0.012016216913859049,0.021395015716552734,0.025416986147562663,0.028964678446451824,0.03172504901885986,0.03505269686381022,0.037648860613505045,0.04102683067321777,0.0454461415608724,0.03342594158877233,0.04178129835364067,0.001745676892115936,381.0865432402511,18.609609514989554,0.000007867813110351563,0.8950798511505127,0.012584145863850914,0.02160019874572754,0.02591702143351237,0.02986796696980794,0.032591819763183594,0.0361543337504069,0.038217592239379865,0.04190382957458495,0.04599908192952473,0.029968494114122893,0.01304974258474224,0.0001702957815280351,1.7003951603255665,-0.016277290639240532,0.00011610984802246094,0.09373807907104492,0.011468998591105143,0.02123875617980957,0.02528990109761556,0.027681748072306316,0.0303041934967041,0.03377952575683594,0.03658747673034668,0.040670251846313475,0.04508976936340332,2.1578947368421053,0.5393131982084001,0.290858725761773,7.752380952380948,3.1228802334353043,2,4,2,2,2,2,2,2,2,2,2,1256.921052631579,543.5560001934119,295453.1253462604,6.710369747736223,2.80422520104738,880,3174,962.6666666666666,976,1008,1024,1080,1114.6666666666665,1233.1666666666665,1328,1380.3333333333335,2.2580645161290325,0.8411874071229224,0.7075962539021853,10.825813148788942,3.3863760036990382,2,6,2,2,2,2,2,2,2,2,3.066666666666663,1232.9032258064517,763.8283608431308,583433.764828304,9.548977704781034,3.1871699181527484,880,4528,896,912,939.7333333333333,973.8666666666667,992,1010.1333333333332,1028.2666666666667,1104,2171.733333333331,2025-05-16 05:49:54.155352,0
923,462,461,309357,159736,149621,335.1646803900325,76.62447275586658,5871.30982511454,4.397815245262155,-1.3409603936678098,60,623,296,312,328,328,344,344,360,376,408,345.74891774891773,80.0049629745576,6400.794100560333,4.406214042643295,-1.3162262064114272,60,623,312,328,328,344,344,360,376,392,424,324.55748373101954,71.52548696543327,5115.895285642365,4.7557196914604285,-1.5666242841675584,60,575,296,312,312,328,328,344,344,360,376,0.0325340107568174,0.031730936647182476,0.0010068523405075077,504.25249027105775,19.605302811565466,0,0.8617699146270752,0.011611453692118329,0.019114398956298833,0.02336429754892985,0.027707560857137045,0.031763553619384766,0.034662055969238284,0.03870671590169271,0.044342136383056646,0.04966231187184652,0.04071152080941355,0.04149946117690175,0.0017222052779731758,330.0375699869893,16.930333607662842,0,0.8617699146270752,0.019918044408162434,0.030802011489868164,0.03325327237447103,0.036806646982828775,0.03986716270446777,0.04311553637186686,0.04611072540283202,0.049195384979248045,0.053835916519165035,0.02435650070422125,0.012560097998073852,0.0001577560617212188,15.792092449586672,2.1772155658546244,0.0004520416259765625,0.12923717498779297,0.008914931615193685,0.015257692337036133,0.019002326329549152,0.021553516387939453,0.023901939392089844,0.026577456792195635,0.02914179166158039,0.03340597152709961,0.036289262771606434,2.0625,0.24206145913796356,0.05859375,11.066666666666666,3.614784456460255,2,3,2,2,2,2,2,2,2,2,2,479.875,118.7454604395469,14100.484375,2.2452372467581716,1.8565696057353087,336,808,393.06666666666666,416,416.53333333333336,432,448,448,464,489.60000000000014,746.4,2.0294117647058822,0.16895772489817737,0.028546712802768184,29.030303030303045,5.570484990582332,2,3,2,2,2,2,2,2,2,2,2,518.5588235294117,164.5051744540132,27061.95242214532,12.000097982775628,3.270581535232906,400,1295,416,432,432,448,464,480,507.73333333333335,544,711.4666666666667,2025-05-16 22:18:27.866039,0
