total_packets,total_packets_in,total_packets_out,total_bytes,total_bytes_in,total_bytes_out,packet_size_mean,packet_size_std,packet_size_var,packet_size_kurtosis,packet_size_skew,packet_size_min,packet_size_max,packet_size_p_10,packet_size_p_20,packet_size_p_30,packet_size_p_40,packet_size_p_50,packet_size_p_60,packet_size_p_70,packet_size_p_80,packet_size_p_90,packet_size_in_mean,packet_size_in_std,packet_size_in_var,packet_size_in_kurtosis,packet_size_in_skew,packet_size_in_min,packet_size_in_max,packet_size_in_p_10,packet_size_in_p_20,packet_size_in_p_30,packet_size_in_p_40,packet_size_in_p_50,packet_size_in_p_60,packet_size_in_p_70,packet_size_in_p_80,packet_size_in_p_90,packet_size_out_mean,packet_size_out_std,packet_size_out_var,packet_size_out_kurtosis,packet_size_out_skew,packet_size_out_min,packet_size_out_max,packet_size_out_p_10,packet_size_out_p_20,packet_size_out_p_30,packet_size_out_p_40,packet_size_out_p_50,packet_size_out_p_60,packet_size_out_p_70,packet_size_out_p_80,packet_size_out_p_90,packet_time_mean,packet_time_std,packet_time_var,packet_time_kurtosis,packet_time_skew,packet_time_min,packet_time_max,packet_time_p_10,packet_time_p_20,packet_time_p_30,packet_time_p_40,packet_time_p_50,packet_time_p_60,packet_time_p_70,packet_time_p_80,packet_time_p_90,packet_time_in_mean,packet_time_in_std,packet_time_in_var,packet_time_in_kurtosis,packet_time_in_skew,packet_time_in_min,packet_time_in_max,packet_time_in_p_10,packet_time_in_p_20,packet_time_in_p_30,packet_time_in_p_40,packet_time_in_p_50,packet_time_in_p_60,packet_time_in_p_70,packet_time_in_p_80,packet_time_in_p_90,packet_time_out_mean,packet_time_out_std,packet_time_out_var,packet_time_out_kurtosis,packet_time_out_skew,packet_time_out_min,packet_time_out_max,packet_time_out_p_10,packet_time_out_p_20,packet_time_out_p_30,packet_time_out_p_40,packet_time_out_p_50,packet_time_out_p_60,packet_time_out_p_70,packet_time_out_p_80,packet_time_out_p_90,out_burst_packets_mean,out_burst_packets_std,out_burst_packets_var,out_burst_packets_kurtosis,out_burst_packets_skew,out_burst_packets_min,out_burst_packets_max,out_burst_packets_p_10,out_burst_packets_p_20,out_burst_packets_p_30,out_burst_packets_p_40,out_burst_packets_p_50,out_burst_packets_p_60,out_burst_packets_p_70,out_burst_packets_p_80,out_burst_packets_p_90,out_burst_sizes_mean,out_burst_sizes_std,out_burst_sizes_var,out_burst_sizes_kurtosis,out_burst_sizes_skew,out_burst_sizes_min,out_burst_sizes_max,out_burst_sizes_p_10,out_burst_sizes_p_20,out_burst_sizes_p_30,out_burst_sizes_p_40,out_burst_sizes_p_50,out_burst_sizes_p_60,out_burst_sizes_p_70,out_burst_sizes_p_80,out_burst_sizes_p_90,in_burst_packets_mean,in_burst_packets_std,in_burst_packets_var,in_burst_packets_kurtosis,in_burst_packets_skew,in_burst_packets_min,in_burst_packets_max,in_burst_packets_p_10,in_burst_packets_p_20,in_burst_packets_p_30,in_burst_packets_p_40,in_burst_packets_p_50,in_burst_packets_p_60,in_burst_packets_p_70,in_burst_packets_p_80,in_burst_packets_p_90,in_burst_sizes_mean,in_burst_sizes_std,in_burst_sizes_var,in_burst_sizes_kurtosis,in_burst_sizes_skew,in_burst_sizes_min,in_burst_sizes_max,in_burst_sizes_p_10,in_burst_sizes_p_20,in_burst_sizes_p_30,in_burst_sizes_p_40,in_burst_sizes_p_50,in_burst_sizes_p_60,in_burst_sizes_p_70,in_burst_sizes_p_80,in_burst_sizes_p_90,datetime,label
5004,2728,2276,5358825,2927260,2431565,1070.908273381295,402.2211057679052,161781.8179251564,0.7822196879949979,-1.541242587586741,16,1294,261.2666666666664,745,1257,1294,1294,1294,1294,1294,1294,1073.0425219941349,442.1774438920365,195520.89188689506,0.7385081867059871,-1.6286070602960063,16,1294,137,1129,1294,1294,1294,1294,1294,1294,1294,1068.3501757469244,348.32508092167353,121330.3619990904,0.2090651370900911,-1.2376723519031754,38,1294,505,697,921,1294,1294,1294,1294,1294,1294,0.00999128887611891,0.02091279054730554,0.00043734480847547205,616.0507341271732,15.744472923689411,0,0.8859128952026367,0.0000069141387939453125,0.000010967254638671875,0.00009091695149739576,0.00013065338134765614,0.0002028942108154297,0.00144195556640625,0.006575187047322591,0.018975019454956055,0.04002197583516438,0.013042181107339556,0.025892872331562494,0.0006704408375785946,472.937293426295,14.734429843321973,0,0.8859128952026367,0.0000050067901611328125,0.000007152557373046875,0.000010013580322265625,0.000010967254638671875,0.000013828277587890625,0.005720011393229167,0.007146469751993812,0.03738899230957032,0.04695223172505704,0.006335848140381342,0.011556172069249561,0.00013354511289410368,9.32558212527948,2.7171091877770497,0.0000400543212890625,0.07145905494689941,0.00011897087097167969,0.0001251697540283203,0.00015924771626790366,0.0001881122589111328,0.00021445751190185547,0.0002989768981933594,0.0058071454366048145,0.013613176345825203,0.021456480026245135,3.2710144927536233,0.8256049954340222,0.6816236084856118,13.353391766769438,3.4480515676278842,2,9,3,3,3,3,3,3,3,3,4,3504.8855072463766,882.8378730434113,779402.7100798144,14.876213738809998,3.617922938683609,1783,9748,3013,3093,3157,3221,3301,3365,3445,3549,3855.133333333335,3.9925705794947994,1.3709807407570347,1.8795881915267074,23.232211261724267,3.2862781707534316,2,19,3,3,3,4,4,4,4,4,5,4282.904903417533,1328.9022975242601,1765981.3163652571,58.67250264303466,5.4898660041779035,1399,22881,3749,3813,3861,3923,3971,4019,4067,4163,5471.333333333338,2025-04-11 01:22:45.381994,0
1571,788,783,1565060,823896,741164,996.2189688096754,255.79905966844876,65433.15892726261,7.555334678689471,-2.9190790472610346,16,1294,952,984,1000,1032,1048,1080,1112,1128,1160,1045.5532994923858,264.20418471341037,69803.85122007786,8.524156308805273,-3.1652387924856074,16,1294,1032,1064,1080,1096,1112,1128,1144,1160,1176,946.5696040868455,236.89676892514592,56120.07912717398,8.329655995154107,-3.1079091406752983,38,1294,936,968,984,1000,1000,1016,1032,1032,1064,0.03184689093547262,0.030246944662792645,0.0009148776614340405,494.7124653132292,16.90965410998528,0,0.9304060935974121,0.0042467832565307615,0.012242746353149413,0.018547558784484858,0.02584671974182129,0.030280470848083496,0.03675955136617025,0.041804575920104975,0.05032033920288086,0.05738064448038736,0.02989501995537454,0.037627495217616415,0.001415828396351746,414.0273237868491,17.439985439473663,0,0.9304060935974121,0.0016348997751871746,0.008320760726928713,0.014711761474609375,0.022355159123738606,0.028095006942749023,0.03432483673095703,0.03968180020650228,0.04752388000488282,0.05572020212809246,0.033808733159402624,0.020092030843113055,0.0004036897034006063,10.725199133826266,1.2770827003874574,0.000125885009765625,0.23213887214660645,0.00751630465189616,0.014482021331787111,0.023036082585652668,0.02771274248758952,0.033059120178222656,0.03868873914082845,0.04363568623860678,0.052077054977417006,0.06098246574401856,2.1372549019607843,0.42099824614870374,0.17723952326028453,9.665651864992153,3.191726964435617,2,4,2,2,2,2,2,2,2,2,3,1693.3333333333333,565.0598672660901,319292.65359477134,1.6810921011438724,0.8573385562121975,1024,4016,1072,1104,1136,1264,1952,2000,2031.4666666666665,2064,2134.9333333333334,2.141509433962264,0.6360058034220065,0.404503381986472,65.20331122221124,7.572243849275108,2,8,2,2,2,2,2,2,2,2,2.0333333333333314,1886.867924528302,751.1411705050975,564213.058027768,12.857548396894625,2.42521502990534,1100,6624,1180,1212,1244,1292,2152,2224,2256,2288,2352,2025-04-11 04:18:28.744818,0
1572,789,783,1551840,786164,765676,987.175572519084,248.21422704515496,61610.30250762374,8.398178831742165,-3.14423578731729,16,1294,968,1016,1032,1032,1048,1064,1080,1080,1112,996.4055766793409,251.2332830334285,63118.1625037548,8.391108000972112,-3.149303901609644,16,1294,984,1032,1032,1048,1064,1080,1080,1096,1112,977.8748403575989,244.78263544107912,59918.53861348024,8.477120125959878,-3.1568864418161784,38,1294,968,1000,1016,1032,1032,1048,1064,1080,1096,0.03181848231582107,0.03206103879738238,0.0010279102087672584,291.83704933560557,11.519256655898538,0,0.8668098449707031,0.0025864442189534507,0.006429386138916015,0.010732539494832355,0.017388916015625002,0.02869892120361328,0.03950834274291992,0.05041364034016927,0.0579287052154541,0.06432547569274902,0.027564141956077613,0.03649312084779334,0.0013317478692116487,352.185196879332,15.500858877997384,0,0.8668098449707031,0.0019325415293375654,0.005722999572753906,0.010376652081807455,0.015280723571777345,0.021900415420532227,0.029934644699096676,0.04001311461130778,0.04927396774291992,0.05820473035176595,0.03609998959995626,0.026183697972478374,0.0006855860395139681,4.560977147769892,0.6590311543987234,0.00008702278137207031,0.2564980983734131,0.003118673960367839,0.00725698471069336,0.011512835820515951,0.026435295740763348,0.037680864334106445,0.05103135108947754,0.05779274304707845,0.06311798095703126,0.0664823055267334,2.06875,0.29836795655700027,0.0890234375,23.095384321545435,4.708424956768667,2,4,2,2,2,2,2,2,2,2,2,1981.75,332.54291076491165,110584.7875,2.508080519900987,-1.764743690437303,1086,2768,1173.8666666666668,2000,2032,2064,2080,2096,2128,2144,2168,2.127388535031847,0.5612328859085527,0.3149823522252425,74.59625748610269,7.8105788120052155,2,8,2,2,2,2,2,2,2,2,2,2077.7579617834394,437.71859909164255,191597.57199075012,40.642453161938626,3.799171618491824,1088,6016,1717.0666666666666,2048,2080,2112,2144,2144,2176,2208,2240,2025-04-10 02:51:17.337740,0
4450,2283,2167,4208396,2209989,1998407,945.7069662921348,505.6625063330498,255694.57031102164,-1.187210378903465,-0.8358526401612493,16,1294,105,265,473,1294,1294,1294,1294,1294,1294,968.0197109067017,461.3446306238273,212838.86820543563,-1.2522462508189351,-0.7835336454564766,16,1294,247.33333333333357,361,505,1294,1294,1294,1294,1294,1294,922.1998154130134,547.5100479846695,299767.2526441751,-1.2987832694844212,-0.8209668550473785,25,1294,73,121,265,1294,1294,1294,1294,1294,1294,0.011237955757890505,0.024015857803409712,0.0005767614260335951,338.33936682795166,10.863751870002,0,0.8517429828643799,0.0000069141387939453125,0.000012159347534179688,0.0000939687093098958,0.0001430511474609375,0.00019598007202148438,0.0004887898763020835,0.0059475580851236914,0.015508794784545905,0.05206430753072103,0.01351221761193639,0.028140484066985383,0.0007918868435242581,344.8969703442574,12.39590615090737,0,0.8517429828643799,0.0000050067901611328125,0.0000069141387939453125,0.000010967254638671875,0.000012874603271484375,0.000015020370483398438,0.001617940266927085,0.006398749351501465,0.037782573699951194,0.053653844197591165,0.008843001650399638,0.018412957712878587,0.0003390370117362551,4.3163014433595,2.3707096252695634,0.00006604194641113281,0.07780981063842773,0.00011994043986002605,0.00013589859008789063,0.00017499923706054688,0.0001919269561767578,0.0002319812774658203,0.0003839651743570964,0.004450384775797527,0.01098008155822754,0.03420716921488444,3.5805369127516777,1.3861335270015358,1.9213661546777172,3.4452482030028637,1.6890296889763912,2,11,2,3,3,3,3,3,3,5,6,3317.7936241610737,1307.2141580705209,1708808.8550600207,7.542769196388942,2.1902789001138925,177,11912,2583,2645,2661,2677,2709,2734.0666666666666,2795.133333333333,5171.6,5354,3.856401384083045,1.5547011611504353,2.417095700482512,7.907782320393011,2.1788547844657504,2,15,3,3,3,3,3,3,4,6,6,3735.8823529411766,1570.9179275022918,2467783.134948096,10.405369756078908,2.4743739701351473,1398,16232,2773,2845,2901,2949,2981,3061,3295.666666666666,5578,5975.333333333334,2025-04-10 07:51:18.198791,0
1574,791,783,1428976,695772,733204,907.8627700127065,229.17313713477623,52520.32678419496,7.919924384204686,-3.0041742153156714,16,1294,872,920,936,952,968,968,984,1016,1032,879.6106194690266,221.01240468014163,48846.48302249869,8.183220334408714,-3.0738183578807576,16,1294,872,904,920,920,936,952,952,968,984,936.4035759897829,233.68951596567143,54610.78987226981,8.343286708689643,-3.1075482669813783,38,1294,920,952,968,984,984,1000,1016,1032,1064,0.03177202498162543,0.029275568907413986,0.0008570589348527445,581.34200670743,18.902694736078715,0,0.9380631446838379,0.0058706601460774745,0.012643814086914063,0.019867976506551102,0.025728782018025715,0.031171083450317383,0.03617596626281738,0.04098097483317057,0.048545122146606445,0.05640300114949543,0.02767960059491894,0.03648841194736364,0.0013314042064405092,487.7531627578673,19.71143037631199,0,0.9380631446838379,0.0052062273025512695,0.011189079284667969,0.015906620025634765,0.020371913909912113,0.025379538536071777,0.030591567357381184,0.035286871592203777,0.040920543670654314,0.049427000681559266,0.035901035537817164,0.018561428743143978,0.00034452663698681144,-0.8666787452739202,-0.17581488723261463,0.00008392333984375,0.07893109321594238,0.008023977279663088,0.018032073974609375,0.026386419932047527,0.032733440399169936,0.03672981262207031,0.04122861226399739,0.04768427213033041,0.05434513092041018,0.06066354115804037,2.0898876404494384,0.3229237722067396,0.10427976265623028,15.01350479864455,3.814668045997978,2,4,2,2,2,2,2,2,2,2,2,1626.0674157303372,496.45579360672303,246468.35500568117,-0.9165467521877386,0.19706416211443276,1024,3016,1072,1088,1104,1154.1333333333334,1920,1966.9333333333334,2000,2028.8,2065.5999999999995,2.211764705882353,0.6153739684998598,0.3786851211072665,19.214208538524694,4.07636374058861,2,6,2,2,2,2,2,2,2,2,3,1595.7411764705882,612.6685919798861,375362.80359861616,13.872374134082989,2.6055526646352014,972,5328,1020,1036,1052,1122.4,1808,1840,1857.0666666666666,1904,1990.1333333333332,2025-04-11 04:19:53.757374,0
6565,3231,3334,7504053,3701320,3802733,1143.039299314547,339.08642996387795,114979.60698564789,3.5843045323200178,-2.237803547622713,16,1294,489,1129,1294,1294,1294,1294,1294,1294,1294,1145.5648406066234,326.6117998026353,106675.2677703167,3.850705538808831,-2.2533082686227934,16,1294,681,1097,1294,1294,1294,1294,1294,1294,1294,1140.5917816436713,350.7352588207939,123015.22178008927,3.3225989683496593,-2.2156676779070437,25,1294,393,1161,1294,1294,1294,1294,1294,1294,1294,0.007616580876542765,0.019370971415675856,0.00037523453358693105,700.2696533045429,16.57726927667099,0,0.9034569263458252,0.0000059604644775390625,0.000012159347534179688,0.00008261998494466113,0.00011801719665527344,0.00013709068298339844,0.00020313262939453125,0.0027283350626627597,0.010066032409667969,0.03142823378245028,0.010401540496401004,0.023875271601554584,0.0005700285940479988,607.0296075386672,17.144364544326056,0,0.9034569263458252,0.0000050067901611328125,0.0000059604644775390625,0.000010013580322265625,0.000011920928955078125,0.000014066696166992188,0.0015046437581380206,0.006350580851236979,0.01662945747375489,0.042711456616719615,0.004918494622151009,0.01310431615288859,0.00017172310183485683,12.338372314400676,3.5353618112366196,0.00004100799560546875,0.08011293411254883,0.00011301040649414063,0.00011706352233886719,0.00012111663818359375,0.0001327991485595703,0.0001671314239501953,0.00019884109497070313,0.0002630710601806644,0.0037089347839355594,0.014408429463704448,5.048929663608563,1.6153100888455405,2.609226683126188,3.396622222530712,1.9994908992999094,2,11,4,4,4,4,5,5,5,5,8,5773.111620795107,1717.1274867008592,2948526.8055836093,3.617546936914528,2.1792840066927046,1735,12178,4835,4915,5011,5123,5233,5361,5473,5585,9785.733333333335,5.058917197452229,2.2765839532792236,5.182834496328457,10.74689805156903,1.7306072823626324,2,26,2,4,4,4,5,5,6,7,8,5786.383757961784,2502.4663746458236,6262337.956233011,11.297136218666632,1.715925038843443,98,29070,2588,4499,4771,4979,5190,5478.333333333333,6797.999999999999,7928.000000000001,9382,2025-04-10 15:18:28.378621,0
1566,789,777,1432716,736768,695948,914.8888888888889,231.8216420731759,53741.27373350367,7.973310326434017,-3.031882174573605,16,1294,904,920,936,952,968,984,1000,1016,1032,933.7997465145754,238.23677489523595,56756.76091248333,8.038818228917622,-3.066499096238372,16,1294,920,952,968,984,984,1000,1016,1032,1048,895.6859716859717,223.4889698880824,49947.31966163621,8.252532882011877,-3.083130905085478,38,1294,888,904,936,936,952,952,968,984,1000,0.031926232633499294,0.03335179770812467,0.00111234241036367,305.679451935128,11.982981553021222,0,0.9092810153961182,0.0029640992482503257,0.006496667861938476,0.010008875528971353,0.015398470560709636,0.02554011344909668,0.04070285161336262,0.05032354990641276,0.058744907379150384,0.06479485829671223,0.02558273167779603,0.03785212246269155,0.0014327831749305978,374.19619049128744,16.239777777533906,0,0.9092810153961182,0.002367536226908366,0.00553107261657715,0.00846707820892334,0.011707305908203127,0.01612544059753418,0.02474681536356608,0.03910942872365316,0.04901909828186035,0.05825523535410563,0.038359538622037476,0.026555000522076738,0.0007051680527274959,8.443358835170107,0.8660930551567664,0.00006389617919921875,0.28972578048706055,0.0037563800811767577,0.008179473876953128,0.014200242360432942,0.027997795740763352,0.04697108268737793,0.05416213671366374,0.05933400789896647,0.06359167098999025,0.06676427523295085,2.0970873786407767,0.3120419161162758,0.09737015741351689,9.84754973577649,3.19048120352681,2,4,2,2,2,2,2,2,2,2,2,1807.8446601941748,305.65818707480327,93426.92732585545,2.06730618313573,-1.7337066451792287,992,2640,1088,1833.6000000000001,1872,1885.8666666666668,1904,1920,1936,1968,2016,2.15609756097561,0.8175062558089292,0.6683164782867344,148.13394337254158,11.491383444659904,2,13,2,2,2,2,2,2,2,2,3,1907.3170731707316,727.2727015304737,528925.5823914334,116.58647133646151,9.262661426742955,152,11000,1116,1910.4,1936,1968,1984,2016,2032,2064,2096,2025-04-10 03:17:04.608825,0
7774,3935,3839,9341942,4679091,4662851,1201.6905068175972,289.13617772920645,83599.72927185525,10.366493408774167,-3.4335752694433928,16,1294,1129,1289,1294,1294,1294,1294,1294,1294,1294,1189.0955527318933,318.230090282827,101270.39036141621,8.015117845145687,-3.110054559834759,16,1294,1113,1289,1294,1294,1294,1294,1294,1294,1294,1214.600416775202,255.2604965196178,65157.921083441805,13.803388092982864,-3.84389899240718,25,1294,1129,1289,1294,1294,1294,1294,1294,1294,1294,0.006431058553383799,0.018236563994436267,0.00033257226632316925,655.1309926944358,15.605806802397778,0,0.8706350326538086,0.0000050067901611328125,0.000010013580322265625,0.00009298324584960938,0.00011610984802246094,0.0001308917999267578,0.00019741058349609353,0.0012289683024088523,0.00585484504699707,0.019935369491577117,0.008668788932699447,0.021634858137801232,0.0004680670866427842,639.6928433784458,17.0538661321911,0,0.8706350326538086,0.0000050067901611328125,0.0000050067901611328125,0.000007152557373046875,0.000010013580322265625,0.000011920928955078125,0.001550706227620444,0.005777923266092937,0.008723306655883794,0.041549126307169615,0.004137953236314834,0.01354011831604811,0.0001833348040125815,44.83952801943634,5.12050484944924,0.00003910064697265625,0.26105213165283203,0.00011205673217773438,0.00011515617370605469,0.00011801719665527344,0.00012302398681640625,0.0001480579376220703,0.0001830895741780599,0.00023474693298339852,0.0009094715118408221,0.0075538476308186905,5.645645645645645,1.9321728314022446,3.7332918504089667,6.465214975518952,2.099623662404289,2,19,4,5,5,5,5,5,5,6,8.033333333333417,6909.255255255255,2315.819093319444,5363018.072982891,5.88166176586479,1.9707511228526309,200,22163,5176,6161,6289,6337,6369,6401,6449,6511,10203.900000000001,5.968798751950078,2.9560947313818073,8.738496060903278,68.2022347186507,5.089341798652425,2,49,3,4,5,5,5,6,7,8,10,7118.039001560062,3573.363400747076,12768925.993798707,64.71386706192845,4.857703641212277,84,58462,3804.4666666666667,5148.6,5249,6369,6433,6495,7713.4,9922.800000000003,11671,2025-04-12 05:52:44.337253,0
3797,1720,2077,3878036,1904447,1973589,1021.3421121938372,482.6201533606752,232922.21242988165,-0.03192246785159947,-1.3803221014279865,16,1294,89,217,1209,1273,1294,1294,1294,1294,1294,1107.2366279069768,393.6989455217124,154998.85970490827,2.670594161730526,-2.121054320475154,16,1294,120,1161,1209,1257,1294,1294,1294,1294,1294,950.2113625421281,535.0538083766668,286282.5778583748,-1.0276057906574576,-0.9702931631076588,25,1294,73,121,1193,1294,1294,1294,1294,1294,1294,0.013171264067590551,0.023383887152545836,0.0005468061783629982,517.2453551294861,14.852077256402788,0,0.8876829147338867,0.00011515617370605469,0.000164031982421875,0.00021505355834960938,0.000595680872599284,0.005298495292663574,0.00854930877685548,0.014219665527343755,0.025154972076416083,0.0400521993637085,0.016000811896953838,0.0261310897381608,0.0006828338509038127,718.6230174438452,21.942156666913114,0,0.8876829147338867,0.000011920928955078125,0.0027932167053222653,0.005852111180623372,0.00658092498779297,0.010132074356079102,0.013783740997314452,0.02209722201029459,0.028590011596679683,0.03565565745035804,0.010829428382142554,0.02054541913128328,0.00042211424728010104,9.971068112048378,2.445179697022318,0.00005507469177246094,0.24718904495239258,0.00012087821960449219,0.00014495849609375,0.00018405914306640625,0.0002089182535807292,0.0002639293670654297,0.0006432215372721362,0.00502154032389323,0.017093133926391606,0.051854674021403,3.3223684210526314,1.4053561717689518,1.9750259695290833,5.205470424341721,1.9118073420430364,2,12,2,2,3,3,3,3,3,4,6,3223.3930921052633,1245.1002252058042,1550274.5708075443,11.415670230362153,2.6702311680190625,184,13014,2551,2583,2613,2645,2666,2703.6666666666665,2769,3934.0000000000014,5306,3.13184584178499,1.1591684263894897,1.3436714407382857,1.188315244637141,0.9921681700243088,2,9,2,2,2,3,3,3,4,4,5,3449.580121703854,1269.385636714127,1611339.89469613,0.17957294591525397,0.5242592233744742,200,9096,2439,2487,2535,2588,2853,3797,3936.6666666666665,4974,5100.666666666667,2025-04-11 07:48:29.654843,0
7932,4023,3909,9430087,4763211,4666876,1188.8662380231972,269.57174322460395,72668.9247451518,8.12515213560443,-2.9585367839116357,16,1294,937,1241,1294,1294,1294,1294,1294,1294,1294,1183.9947800149143,279.8452072441029,78313.34001749489,7.733913361335848,-2.905348548922979,16,1294,889,1273,1294,1294,1294,1294,1294,1294,1294,1193.8797646456894,258.47696243542674,66810.34010984501,8.471352186568975,-3.0054108451116455,25,1294,969,1225,1294,1294,1294,1294,1294,1294,1294,0.006300479432941611,0.016159698143313212,0.00026113584408300045,1166.414229276214,22.586948083698687,0,0.8960928916931152,0.0000059604644775390625,0.000011920928955078125,0.00008392333984375,0.00011610984802246094,0.00013113021850585938,0.00019693374633789063,0.001402918497721354,0.009500980377197266,0.02525725364685058,0.008687995548333651,0.02034984736324643,0.00041411628770742767,898.0420437273551,21.34893154331916,0,0.8960928916931152,0.0000050067901611328125,0.0000059604644775390625,0.000008821487426757813,0.000012159347534179688,0.000015020370483398438,0.0011240641276041713,0.006185539563496908,0.015172910690307623,0.03498927752176921,0.0038439458396679364,0.009582980989821513,0.00009183352465128051,124.82000060488956,6.700476886832777,0.000034809112548828125,0.2541830539703369,0.00011205673217773438,0.00011587142944335938,0.00011897087097167969,0.00012683868408203125,0.0001468658447265625,0.00018787384033203125,0.00023603439331054688,0.0014436244964599813,0.01714749336242678,5.382475660639778,1.5447966379901155,2.386396652745564,89.51865308716735,6.906380004220358,2,29,4,5,5,5,5,5,5,6,7,6452.937413073713,1783.3651537095125,3180391.271465353,92.96768967346911,7.0216762282683565,1959,33852,4976.066666666667,5380.200000000001,6113,6193,6241,6289,6353,7403.800000000001,8328.733333333335,5.552924791086351,2.0507111538886815,4.2054162366834476,115.34569971038317,8.440913502506717,2,39,5,5,5,5,5,5,5,6,7,6584.0947075208915,2374.450644443212,5638015.862896784,130.73490050611716,9.13736919257344,1335,46434,5585,5937,6049,6113,6177,6241,6337,7535,7869,2025-04-11 05:52:44.833268,0
